Engage magnet,0.5,
Eject tips in A column 12,10.43,
Pickup tips from A column 7,21.72,
Move to Mag Separator column 3 with 50 uL tips,9.16,
Aspirate 7 uLs with 50 uL tips at High pressure 1 time,4.04,
Move to Pre-Amp Thermocycler column 1 with 50 uL tips,13.67,
Dispense 7 uLs with 50 uL tips at High pressure 1 time,4.06,
Mix 20 uLs with 50 uL tips at High pressure 3 times,25.22,
Delay for 2 seconds,2.01,
Dispense 5 uLs with 50 uL tips at High pressure 1 time,4.13,
Eject tips in A column 7,16.97,
Pickup tips from A column 9,21.27,
Move to Reagent Cartridge tray A column 7 with 200 uL tips,8.27,
Aspirate 25 uLs with 200 uL tips at High pressure 1 time,4.1,
Move to Pre-Amp Thermocycler column 1 with 200 uL tips,14.28,
Dispense 25 uLs with 200 uL tips at Low pressure 1 time,4.02,
Eject tips in A column 9,17.0,
Pickup tips from A column 6,21.67,
Move to Pre-Amp Thermocycler column 1 with 50 uL tips,8.96,
Aspirate 10 uLs with 50 uL tips at High pressure 1 time,4.04,
Move to Pre-Amp Thermocycler column 2 with 50 uL tips,12.08,
Dispense 10 uLs with 50 uL tips at High pressure 1 time,4.05,
Mix 25 uLs with 50 uL tips at High pressure 5 times,41.5,
Delay for 3 seconds,3.02,
Dispense 10 uLs with 50 uL tips at High pressure 1 time,4.05,
Move to Heater/Shaker column 1 with 1000 uL tips moving left by 6000,9.13,
Move relative right by 6000,1.56,
Move relative right by 5000,1.57,
Move relative left by 11000,1.79,
Move to Heater/Shaker column 1 with 1000 uL tips moving left by 6000,9.73,
Move relative right by 6000,1.54,
Move relative right by 5000,1.56,
Move relative left by 11000,1.77,
Aspirate 200 uLs with 1000 uL tips at High pressure 1 time,4.68,
Aspirate 200 uLs with 1000 uL tips at High pressure 1 time,4.48,
Dispense 300 uLs with 1000 uL tips at High pressure 1 time,4.77,
Pickup tips from A column 1,17.01,
Move to Heater/Shaker column 1 with 1000 uL tips,8.05,
Aspirate 200 uLs with 1000 uL tips at High pressure 1 time,4.31,
Home pipettor along Z,5.81,
Dispense 200 uLs with 1000 uL tips at High pressure 1 time,4.49,
Move to Heater/Shaker column 1 with 1000 uL tips moving left by 6000 up by 5000,6.03,
Move relative right by 6000,1.57,
Move relative right by 5000,1.55,
Move relative left by 11000,1.79,
Move to Heater/Shaker column 1 with 1000 uL tips moving left by 6000 up by 5000,9.82,
Aspirate 200 uLs with 1000 uL tips at High pressure 1 time,4.34,
Move relative right by 6000,1.56,
Move relative right by 5000,1.56,
Move relative left by 11000,1.8,
Home pipettor along Z,5.82,
Dispense 200 uLs with 1000 uL tips at High pressure 1 time,4.46,
Dispense 200 uLs with 1000 uL tips at High pressure 1 time,4.59,
Change Heater/Shaker Temperature to 60.0 C,20.04,
Engage magnet,0.44,
Pickup tips from A column 1,17.0,
Move to Sample Rack tray A with 1000 uL tips,8.28,
Aspirate 1000 uLs with 1000 uL tips at High pressure 1 time,5.87,
Move to Heater/Shaker column 1 with 1000 uL tips,13.16,
Dispense 1000 uLs with 1000 uL tips at High pressure 1 time,6.9,
Delay for 2 seconds,2.02,
Dispense 50 uLs with 1000 uL tips at High pressure 1 time,4.06,
Move to Sample Rack tray A with 1000 uL tips,13.15,
Aspirate 1000 uLs with 1000 uL tips at High pressure 1 time,5.6,
Move to Heater/Shaker column 1 with 1000 uL tips,13.19,
Dispense 1000 uLs with 1000 uL tips at High pressure 1 time,6.67,
Delay for 2 seconds,2.01,
Dispense 50 uLs with 1000 uL tips at High pressure 1 time,4.06,
Move to Sample Rack tray A with 1000 uL tips,13.14,
Aspirate 1000 uLs with 1000 uL tips at High pressure 1 time,5.59,
Move to Heater/Shaker column 1 with 1000 uL tips,13.16,
Dispense 1000 uLs with 1000 uL tips at High pressure 1 time,7.04,
Delay for 2 seconds,2.01,
Dispense 50 uLs with 1000 uL tips at High pressure 1 time,4.06,
Move to Sample Rack tray A with 1000 uL tips,13.19,
Aspirate 1000 uLs with 1000 uL tips at High pressure 1 time,5.54,
Move to Heater/Shaker column 1 with 1000 uL tips,13.18,
Dispense 1000 uLs with 1000 uL tips at High pressure 1 time,7.64,
Delay for 2 seconds,2.02,
