Aspirate 110 uLs with 200 uL tips at Low pressure 1 time,3.64,
Delay for 2 seconds,2.03,
Move to Mag Separator column 3 with 200 uL tips moving up by 40000,9.17,
Dispense 110 uLs with 200 uL tips at Low pressure 1 time,4.47,
Delay for 2 seconds,2.02,
Dispense 50 uLs with 200 uL tips at Low pressure 1 time,4.15,
Delay for 2 seconds,2.02,
Dispense 50 uLs with 200 uL tips at Low pressure 1 time,4.12,
Move relative down by 40000,0.95,
Aspirate 150 uLs with 200 uL tips at Low pressure 1 time,3.7,
Delay for 2 seconds,2.05,
Move relative up by 100000,0.97,
Delay for 2 seconds,2.04,
Dispense 150 uLs with 200 uL tips at High pressure 1 time,4.26,
Delay for 2 seconds,2.02,
Move relative down by 100000,0.93,
Delay for 2 seconds,2.02,
Aspirate 150 uLs with 200 uL tips at Low pressure 1 time,3.76,
Delay for 2 seconds,2.03,
Move relative up by 100000,0.99,
Delay for 2 seconds,2.03,
Dispense 150 uLs with 200 uL tips at High pressure 1 time,4.27,
Delay for 2 seconds,2.02,
Move relative down by 100000,0.96,
Delay for 2 seconds,2.02,
Aspirate 150 uLs with 200 uL tips at Low pressure 1 time,3.73,
Delay for 2 seconds,2.01,
Move relative up by 100000,0.95,
Delay for 2 seconds,2.03,
Dispense 150 uLs with 200 uL tips at High pressure 1 time,4.27,
Delay for 2 seconds,2.02,
Move relative down by 100000,0.97,
Delay for 2 seconds,2.04,
Aspirate 150 uLs with 200 uL tips at Low pressure 1 time,3.72,
Delay for 2 seconds,2.02,
Move relative up by 100000,0.96,
Delay for 2 seconds,2.02,
Dispense 150 uLs with 200 uL tips at High pressure 1 time,4.33,
Delay for 2 seconds,2.02,
Move relative down by 100000,0.96,
Delay for 2 seconds,2.04,
Move relative up by 100000,0.97,
Delay for 2 seconds,2.03,
Dispense 50 uLs with 200 uL tips at Low pressure 1 time,4.1,
Delay for 2 seconds,2.04,
Dispense 50 uLs with 200 uL tips at Low pressure 1 time,4.13,
Move relative down by 100000,0.94,
Home pipettor fast,14.24,
Engage magnet,0.47,
Delay for 6 minutes,360.02,
Move to Mag Separator column 3 with 200 uL tips,9.68,
Aspirate 160 uLs with 200 uL tips at Low pressure 1 time,3.75,
Move to Reagent Cartridge tray A column 12 with 200 uL tips,9.37,
Dispense 160 uLs with 200 uL tips at Low pressure 1 time,4.65,
