Move to Heater/Shaker column 1 with 1000 uL tips,4.33,
Aspirate 860 uLs with 1000 uL tips at Low pressure 1 time,6.3,
Home pipettor along Z,3.95,
Aspirate 50 uLs with 1000 uL tips at Low pressure 1 time,3.3,
Move to Sample Rack tray C with 1000 uL tips,5.04,
Pause for user input -> Ok Pressed,22.81,
Delay for 3 seconds,3.01,
Move relative down by 400000,1.88,
Dispense 200 uLs with 1000 uL tips at High pressure 1 time,4.26,
Delay for 1 second,1.01,
Dispense 200 uLs with 1000 uL tips at High pressure 1 time,4.22,
Delay for 1 second,1.02,
Dispense 200 uLs with 1000 uL tips at High pressure 1 time,4.19,
Delay for 1 second,1.02,
Dispense 200 uLs with 1000 uL tips at High pressure 1 time,4.25,
Delay for 1 second,1.02,
Dispense 200 uLs with 1000 uL tips at High pressure 1 time,4.23,
Move to Heater/Shaker column 1 with 1000 uL tips,7.29,
