Pickup tips from A column 5,17.96,
Eject tips in A column 5,10.1,
Eject tips,1.78,
Home pipettor,41.82,
Engage magnet,0.44,
Pickup tips from A column 8,18.02,
Move to Reagent Cartridge tray A column 5 with 50 uL tips,9.58,
Aspirate 20 uLs with 50 uL tips at Low pressure 1 time,4.13,
Move to Pre-Amp Thermocycler column 1 with 50 uL tips moving up by 10000,14.96,
Dispense 20 uLs with 50 uL tips at Low pressure 1 time,4.11,
Eject tips in A column 8,17.71,
Pickup tips from A column 7,22.3,
Move to Mag Separator column 3 with 50 uL tips,10.36,
Aspirate 9 uLs with 50 uL tips at Low pressure 1 time,4.07,
Move to Pre-Amp Thermocycler column 1 with 50 uL tips,14.24,
Dispense 9 uLs with 50 uL tips at Low pressure 1 time,4.04,
Mix 20 uLs with 50 uL tips at Low pressure 3 times,24.42,
Delay for 2 seconds,2.03,
Dispense 5 uLs with 50 uL tips at Low pressure 1 time,4.08,
Eject tips in A column 7,17.72,
Pickup tips from A column 5,22.47,
Move to Reagent Cartridge tray A column 7 with 50 uL tips,9.35,
Aspirate 27 uLs with 50 uL tips at Low pressure 1 time,4.08,
Move to Pre-Amp Thermocycler column 1 with 50 uL tips moving up by 10000,15.01,
Dispense 27 uLs with 50 uL tips at Low pressure 1 time,4.05,
Eject tips in A column 5,17.76,
Thermocycle Pre-Amp at 82 C for 3 minutes and cycle 6 times between 82 C for 120 seconds and 53 C for 240 seconds,2354.48,
Pickup tips from A column 8,22.6,
Move to Reagent Cartridge tray A column 5 with 50 uL tips,9.49,
Aspirate 30 uLs with 50 uL tips at Low pressure 1 time,3.99,
Move to Pre-Amp Thermocycler column 2 with 50 uL tips moving up by 10000,14.83,
Dispense 30 uLs with 50 uL tips at Low pressure 1 time,3.96,
Eject tips in A column 8,17.65,
Pickup tips from A column 7,22.23,
Move to Pre-Amp Thermocycler column 1 with 50 uL tips,10.2,
Aspirate 10 uLs with 50 uL tips at Low pressure 1 time,3.96,
Move to Pre-Amp Thermocycler column 2 with 50 uL tips,12.96,
Dispense 10 uLs with 50 uL tips at Low pressure 1 time,3.94,
Mix 25 uLs with 50 uL tips at Low pressure 5 times,39.96,
Delay for 3 seconds,3.01,
Dispense 10 uLs with 50 uL tips at Low pressure 1 time,3.96,
Eject tips in A column 7,17.65,
Pickup tips from A column 8,22.17,
Move to Reagent Cartridge tray A column 8 with 50 uL tips,9.25,
Aspirate 18 uLs with 50 uL tips at Low pressure 1 time,4.0,
Move to Mag Separator column 10 with 50 uL tips moving up by 78000,14.61,
Dispense 18 uLs with 50 uL tips at Low pressure 1 time,3.98,
Home pipettor,53.46,
Move to Pre-Amp Thermocycler column 2 with 50 uL tips,11.13,
Aspirate 5 uLs with 50 uL tips at Low pressure 1 time,4.15,
Move relative up by 100000,2.78,
Dispense 5 uLs with 50 uL tips at Low pressure 1 time,4.07,
Delay for 3 seconds,3.02,
Dispense 2 uLs with 50 uL tips at Low pressure 1 time,4.0,
Move relative down by 100000,2.78,
Home pipettor along Z,6.22,
Move to Reagent Cartridge tray A column 8 with 50 uL tips,10.22,
Aspirate 18 uLs with 50 uL tips at Low pressure 1 time,4.08,
Move to Mag Separator column 10 with 50 uL tips moving up by 78000,15.02,
Dispense 18 uLs with 50 uL tips at Low pressure 1 time,4.04,
Eject tips in A column 8,17.25,
Pickup tips from A column 7,22.31,
Move to Pre-Amp Thermocycler column 2 with 50 uL tips,10.22,
Aspirate 9 uLs with 50 uL tips at Low pressure 1 time,4.07,
Move to Mag Separator column 10 with 50 uL tips moving up by 78000,14.16,
Dispense 9 uLs with 50 uL tips at Low pressure 1 time,4.06,
Mix 15 uLs with 50 uL tips at Low pressure 5 times,40.63,
Home pipettor along Z,6.48,
Pause for user input -> Cancel Pressed,5.42,
Move to Mag Separator column 10 with 50 uL tips moving up by 100000,7.79,
Move to Mag Separator column 10 with 50 uL tips moving up by 150000,12.74,
Dispense 5 uLs with 50 uL tips at Low pressure 1 time,3.96,
Dispense 5 uLs with 50 uL tips at High pressure 1 time,4.04,
Move to DG8 tray A column 1 with 50 uL tips,14.35,
Move to DG8 tray A column 2 with 50 uL tips,13.46,
Eject tips in A column 7,16.78,
Move to DG8 tray A column 3 without tips moving down by 677000,15.93,
Home pipettor,55.03,
Pickup tips from A column 7,17.85,
Move to Mag Separator column 10 with 50 uL tips moving up by 78000,9.79,
Aspirate 22 uLs with 50 uL tips at Low pressure 1 time,4.03,
Move to DG8 tray A column 2 with 50 uL tips,14.86,
Dispense 22 uLs with 50 uL tips at Low pressure 1 time,4.09,
Eject tips in A column 7,16.83,
Pickup tips from A column 11,22.72,
Move to Reagent Cartridge tray A column 8 with 200 uL tips,9.49,
Aspirate 100 uLs with 200 uL tips at Low pressure 1 time,4.49,
Move to DG8 tray A column 1 with 200 uL tips,14.22,
Dispense 100 uLs with 200 uL tips at Low pressure 1 time,4.46,
Eject tips in A column 11,17.02,
Move to DG8 tray A column 3 without tips moving down by 677000,16.01,
Home pipettor,55.07,
Pickup tips from A column 7,12.89,
Home pipettor,45.7,
Pickup tips from A column 7,17.85,
Move to Pre-Amp Thermocycler column 2 with 50 uL tips,10.3,
Home pipettor,56.95,
Home pipettor,3.15,
Home pipettor,2.73,
Pickup tips from A column 8,17.76,
Move to Reagent Cartridge tray A column 8 with 50 uL tips,9.31,
Aspirate 18 uLs with 50 uL tips at Low pressure 1 time,4.11,
Move to Mag Separator column 10 with 50 uL tips moving up by 78000,14.81,
Dispense 18 uLs with 50 uL tips at Low pressure 1 time,4.1,
Eject tips in A column 8,17.26,
Pickup tips from A column 7,22.37,
Move to Pre-Amp Thermocycler column 2 with 50 uL tips,10.21,
Aspirate 9 uLs with 50 uL tips at Low pressure 1 time,4.02,
Move to Mag Separator column 10 with 50 uL tips moving up by 78000,14.29,
Dispense 9 uLs with 50 uL tips at Low pressure 1 time,3.95,
Aspirate 15 uLs with 50 uL tips at Lowest pressure 1 time,13.67,
Delay for 3 seconds,3.02,
Dispense 15 uLs with 50 uL tips at Lowest pressure 1 time,13.67,
Delay for 3 seconds,3.02,
Aspirate 15 uLs with 50 uL tips at Lowest pressure 1 time,13.74,
Home pipettor along Z,22.78,
Home pipettor,32.04,
Move to Mag Separator column 10 with 50 uL tips moving up by 78000,10.54,
Aspirate 15 uLs with 50 uL tips at Lowest pressure 1 time,13.67,
Delay for 3 seconds,3.02,
Dispense 15 uLs with 50 uL tips at Lowest pressure 1 time,4.23,
Home pipettor,53.52,
Move to Mag Separator column 10 with 50 uL tips moving up by 85000,10.59,
Aspirate 15 uLs with 50 uL tips at Lowest pressure 1 time,4.32,
Delay for 3 seconds,3.02,
Dispense 15 uLs with 50 uL tips at Lowest pressure 1 time,4.17,
Delay for 3 seconds,3.04,
Aspirate 15 uLs with 50 uL tips at Lowest pressure 1 time,4.37,
Delay for 3 seconds,3.01,
Dispense 15 uLs with 50 uL tips at Lowest pressure 1 time,4.16,
Delay for 3 seconds,3.02,
Aspirate 15 uLs with 50 uL tips at Lowest pressure 1 time,4.34,
Delay for 3 seconds,3.01,
Dispense 15 uLs with 50 uL tips at Lowest pressure 1 time,4.22,
Delay for 3 seconds,3.03,
Aspirate 15 uLs with 50 uL tips at Lowest pressure 1 time,4.4,
Delay for 3 seconds,3.02,
Dispense 15 uLs with 50 uL tips at Lowest pressure 1 time,4.21,
Delay for 3 seconds,3.02,
Aspirate 15 uLs with 50 uL tips at Lowest pressure 1 time,4.38,
Delay for 3 seconds,3.04,
Dispense 15 uLs with 50 uL tips at Lowest pressure 1 time,4.24,
Delay for 3 seconds,3.02,
Home pipettor,53.23,
