Move to DG8 tray D column 1 with 200 uL tips,5.69,
Aspirate 20 uLs with 200 uL tips at Low pressure 1 time,3.26,
Move to DG8 tray D column 3 with 200 uL tips moving left by 200 up by 591500,7.55,
Move relative right by 1000,0.97,
Move relative down by 1500,0.94,
Dispense 10 uLs with 200 uL tips at Lowest pressure 1 time,4.13,
Aspirate 22 uLs with 200 uL tips at Low pressure 1 time,3.19,
Move relative right by 500,0.95,
Move relative down by 800,0.92,
Delay for 15 seconds,15.01,
Dispense 5 uLs with 200 uL tips at Lowest pressure 1 time,4.0,
Aspirate 16 uLs with 200 uL tips at Lowest pressure 1 time,4.12,
Delay for 10 seconds,10.03,
Move relative up by 150000,0.97,
Dispense 25 uLs with 200 uL tips at Lowest pressure 1 time,4.37,
Dispense 4 uLs with 200 uL tips at Lowest pressure 1 time,4.0,
