Change Heater/Shaker Temperature to 60.0 C,0.13,
Engage magnet,0.48,
Pickup tips from A column 1,12.78,
Move to Reagent Cartridge tray A column 1 with 1000 uL tips,5.41,
Aspirate 600 uLs with 1000 uL tips at Low pressure 1 time,5.63,
Move relative up 217000,0.97,
Dispense 600 uLs with 1000 uL tips at Low pressure 1 time,5.95,
Delay for 5 seconds,5.02,
Dispense 120 uLs with 1000 uL tips at Low pressure 1 time,4.33,
Move relative down 217000,0.97,
Aspirate 850 uLs with 1000 uL tips at Low pressure 1 time,6.56,
Move to Heater/Shaker column 1 with 1000 uL tips moving up by 300000,6.28,
Dispense 850 uLs with 1000 uL tips at Low pressure 1 time,6.85,
Delay for 2 seconds,2.03,
Dispense 170 uLs with 1000 uL tips at Low pressure 1 time,4.44,
Delay for 2 seconds,2.02,
Dispense 170 uLs with 1000 uL tips at Low pressure 1 time,4.47,
Move to Reagent Cartridge tray A column 2 with 1000 uL tips,6.37,
Aspirate 600 uLs with 1000 uL tips at Low pressure 1 time,5.64,
Move relative up 217000,0.97,
Dispense 600 uLs with 1000 uL tips at Low pressure 1 time,5.95,
Delay for 2 seconds,2.01,
Dispense 120 uLs with 1000 uL tips at Low pressure 1 time,4.32,
Move relative down 217000,0.96,
Aspirate 850 uLs with 1000 uL tips at Low pressure 1 time,6.57,
Move to Heater/Shaker column 1 with 1000 uL tips moving up by 300000,6.34,
Dispense 850 uLs with 1000 uL tips at Low pressure 1 time,6.85,
Delay for 2 seconds,2.02,
Dispense 170 uLs with 1000 uL tips at Low pressure 1 time,4.5,
Delay for 2 seconds,2.02,
Dispense 170 uLs with 1000 uL tips at Low pressure 1 time,4.51,
Move to Reagent Cartridge tray A column 11 with 1000 uL tips,6.59,
Aspirate 600 uLs with 1000 uL tips at Low pressure 1 time,5.61,
Move relative up 217000,0.97,
Dispense 600 uLs with 1000 uL tips at Low pressure 1 time,6.0,
Delay for 2 seconds,2.01,
Dispense 120 uLs with 1000 uL tips at Low pressure 1 time,4.33,
Move relative down 217000,0.96,
Aspirate 850 uLs with 1000 uL tips at Low pressure 1 time,6.56,
Move to Heater/Shaker column 1 with 1000 uL tips moving up by 300000,6.55,
Dispense 850 uLs with 1000 uL tips at Low pressure 1 time,6.81,
Delay for 2 seconds,2.02,
Dispense 170 uLs with 1000 uL tips at Low pressure 1 time,4.45,
Delay for 2 seconds,2.02,
Dispense 170 uLs with 1000 uL tips at Low pressure 1 time,4.46,
Move to Reagent Cartridge tray A column 12 with 1000 uL tips,6.45,
Aspirate 600 uLs with 1000 uL tips at Low pressure 1 time,5.58,
Move relative up 217000,0.94,
Dispense 600 uLs with 1000 uL tips at Low pressure 1 time,5.97,
Delay for 2 seconds,2.03,
Dispense 120 uLs with 1000 uL tips at Low pressure 1 time,4.36,
Move relative down 217000,0.97,
Aspirate 850 uLs with 1000 uL tips at Low pressure 1 time,6.58,
Move to Heater/Shaker column 1 with 1000 uL tips moving up by 300000,6.6,
Dispense 850 uLs with 1000 uL tips at Low pressure 1 time,6.97,
Delay for 2 seconds,2.02,
Dispense 170 uLs with 1000 uL tips at Low pressure 1 time,4.5,
Delay for 2 seconds,2.01,
Dispense 170 uLs with 1000 uL tips at Low pressure 1 time,4.48,
Eject tips in A column 1,9.1,
Change Heater/Shaker Temperature to 37.0 C,0.22,
Shake on with an RPM of 1000,0.22,
