Move to Reagent Cartridge tray A column 9 with 200 uL tips,6.89,
Aspirate 100 uLs with 200 uL tips at Low pressure 1 time,3.75,
Move relative up by 20000,0.96,
Dispense 100 uLs with 200 uL tips at Low pressure 1 time,4.76,
Move relative down by 20000,0.99,
Aspirate 100 uLs with 200 uL tips at Low pressure 1 time,3.72,
Move relative up by 20000,0.96,
Dispense 100 uLs with 200 uL tips at Low pressure 1 time,4.78,
Move relative down by 20000,0.95,
Aspirate 100 uLs with 200 uL tips at Low pressure 1 time,3.77,
Move relative up by 20000,0.97,
Dispense 100 uLs with 200 uL tips at Low pressure 1 time,4.76,
Move relative down by 20000,0.98,
Aspirate 100 uLs with 200 uL tips at Low pressure 1 time,3.71,
Move relative up by 20000,0.94,
Dispense 100 uLs with 200 uL tips at Low pressure 1 time,4.76,
Move relative down by 20000,0.97,
Aspirate 100 uLs with 200 uL tips at Low pressure 1 time,3.73,
Move relative up by 20000,0.95,
Dispense 100 uLs with 200 uL tips at Low pressure 1 time,4.8,
Move relative down by 20000,0.95,
Move relative up by 20000,0.97,
Delay for 10 seconds,10.04,
Dispense 25 uLs with 200 uL tips at Low pressure 1 time,4.02,
Move relative down by 20000,0.98,
Eject tips in A column 6,10.5,
Pickup tips from A column 7,14.29,
Move to Mag Separator column 1 with 200 uL tips,7.15,
Aspirate 62 uLs with 200 uL tips at Low pressure 1 time,3.47,
Move to Mag Separator column 2 with 200 uL tips moving up by 100000,7.87,
Dispense 62 uLs with 200 uL tips at Low pressure 1 time,4.12,
Delay for 5 seconds,5.02,
Dispense 20 uLs with 200 uL tips at Low pressure 1 time,4.02,
Move relative down by 100000,0.94,
Eject tips in A column 7,11.79,
Disengage magnet,0.23,
Pickup tips from A column 8,14.53,
Move to Reagent Cartridge tray A column 5 with 200 uL tips,5.97,
Aspirate 42 uLs with 200 uL tips at Lowest pressure 1 time,3.77,
Move to Mag Separator column 2 with 200 uL tips moving up by 40000,9.03,
Dispense 42 uLs with 200 uL tips at Lowest pressure 1 time,4.64,
Delay for 5 seconds,5.04,
Dispense 20 uLs with 200 uL tips at Lowest pressure 1 time,4.25,
Move relative down by 40000,0.97,
Eject tips in A column 8,12.14,
Pickup tips from A column 9,14.3,
Move to Reagent Cartridge tray A column 9 with 200 uL tips,5.73,
Aspirate 90 uLs with 200 uL tips at Lowest pressure 1 time,5.94,
Move to Mag Separator column 2 with 200 uL tips moving up by 40000,8.8,
Dispense 90 uLs with 200 uL tips at Lowest pressure 1 time,6.19,
Delay for 10 seconds,10.02,
Dispense 20 uLs with 200 uL tips at Lowest pressure 1 time,4.26,
Move relative down by 40000,0.96,
Aspirate 150 uLs with 200 uL tips at Low pressure 1 time,3.85,
Delay for 2 seconds,2.02,
Dispense 150 uLs with 200 uL tips at Low pressure 1 time,4.63,
Delay for 2 seconds,2.01,
Aspirate 150 uLs with 200 uL tips at Low pressure 1 time,3.87,
Delay for 2 seconds,2.02,
Dispense 150 uLs with 200 uL tips at Low pressure 1 time,4.63,
Delay for 2 seconds,2.02,
Aspirate 150 uLs with 200 uL tips at Low pressure 1 time,3.83,
Delay for 2 seconds,2.02,
Dispense 150 uLs with 200 uL tips at Low pressure 1 time,4.65,
Delay for 2 seconds,2.01,
Aspirate 150 uLs with 200 uL tips at Low pressure 1 time,3.87,
Delay for 2 seconds,2.03,
Dispense 150 uLs with 200 uL tips at Low pressure 1 time,4.65,
Delay for 2 seconds,2.02,
Move relative up by 100000,0.97,
Delay for 10 seconds,10.03,
Dispense 50 uLs with 200 uL tips at Low pressure 1 time,4.17,
Delay for 10 seconds,10.01,
Dispense 50 uLs with 200 uL tips at Low pressure 1 time,4.17,
Delay for 10 seconds,10.04,
Dispense 50 uLs with 200 uL tips at Low pressure 1 time,4.16,
Move relative down by 100000,0.96,
Eject tips in A column 9,12.25,
Home pipettor,40.27,
Delay for 5 minutes,300.02,
Engage magnet,0.46,
Pickup tips from A column 6,12.35,
Move to Reagent Cartridge tray A column 8 with 200 uL tips,5.96,
Aspirate 100 uLs with 200 uL tips at Low pressure 1 time,3.76,
Move relative up by 20000,0.95,
Dispense 100 uLs with 200 uL tips at Low pressure 1 time,4.8,
Move relative down by 20000,0.96,
Aspirate 100 uLs with 200 uL tips at Low pressure 1 time,3.77,
Move relative up by 20000,0.96,
Dispense 100 uLs with 200 uL tips at Low pressure 1 time,4.74,
Move relative down by 20000,0.97,
Aspirate 100 uLs with 200 uL tips at Low pressure 1 time,3.73,
Move relative up by 20000,0.97,
Dispense 100 uLs with 200 uL tips at Low pressure 1 time,4.8,
Move relative down by 20000,0.95,
Delay for 10 seconds,10.03,
Dispense 25 uLs with 200 uL tips at Low pressure 1 time,4.01,
Eject tips in A column 6,10.33,
Pickup tips from A column 8,14.51,
Delay for 2 minutes,120.01,
Move to Mag Separator column 2 with 200 uL tips,7.31,
Aspirate 190 uLs with 200 uL tips at Lowest pressure 1 time,8.89,
Move to Mag Separator column 3 with 200 uL tips,8.07,
Dispense 190 uLs with 200 uL tips at Lowest pressure 1 time,13.69,
Delay for 3 seconds,3.01,
Dispense 50 uLs with 200 uL tips at Lowest pressure 1 time,8.07,
Disengage magnet,0.23,
Move to Reagent Cartridge tray A column 8 with 200 uL tips,9.01,
Aspirate 170 uLs with 200 uL tips at Lowest pressure 1 time,8.94,
Delay for 5 seconds,5.02,
Move to Mag Separator column 3 with 200 uL tips moving up by 40000,9.05,
Dispense 170 uLs with 200 uL tips at Lowest pressure 1 time,8.28,
Delay for 10 seconds,10.02,
Dispense 50 uLs with 200 uL tips at Lowest pressure 1 time,4.91,
Delay for 10 seconds,10.02,
Dispense 50 uLs with 200 uL tips at Lowest pressure 1 time,4.72,
Move relative down by 40000,0.95,
Aspirate 150 uLs with 200 uL tips at Low pressure 1 time,3.99,
Delay for 2 seconds,2.02,
Move relative up by 100000,0.98,
Delay for 2 seconds,2.02,
Dispense 150 uLs with 200 uL tips at High pressure 1 time,4.25,
Delay for 2 seconds,2.02,
Move relative down by 100000,0.92,
Delay for 2 seconds,2.01,
Aspirate 150 uLs with 200 uL tips at Low pressure 1 time,4.0,
Delay for 2 seconds,2.02,
Move relative up by 100000,0.97,
Delay for 2 seconds,2.01,
Dispense 150 uLs with 200 uL tips at High pressure 1 time,4.26,
Delay for 2 seconds,2.02,
Move relative down by 100000,0.97,
Delay for 2 seconds,2.03,
Aspirate 150 uLs with 200 uL tips at Low pressure 1 time,3.98,
Delay for 2 seconds,2.02,
Move relative up by 100000,0.93,
Delay for 2 seconds,2.03,
Dispense 150 uLs with 200 uL tips at High pressure 1 time,4.23,
Delay for 2 seconds,2.02,
Move relative down by 100000,0.93,
Delay for 2 seconds,2.01,
Aspirate 150 uLs with 200 uL tips at Low pressure 1 time,3.97,
Delay for 2 seconds,2.02,
Move relative up by 100000,0.97,
Delay for 2 seconds,2.01,
Dispense 150 uLs with 200 uL tips at High pressure 1 time,4.28,
Delay for 2 seconds,2.01,
Move relative down by 100000,0.95,
Delay for 2 seconds,2.02,
Move relative up by 100000,0.94,
Delay for 10 seconds,10.02,
Dispense 50 uLs with 200 uL tips at Low pressure 1 time,4.15,
Delay for 10 seconds,10.02,
Dispense 50 uLs with 200 uL tips at Low pressure 1 time,4.16,
Move relative down by 100000,0.95,
Home pipettor,58.98,
Delay for 3 minutes,180.04,
Engage magnet,0.46,
