Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),15.57,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),2.52,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),2.49,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),2.54,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),2.49,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),2.48,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),2.52,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=left, value=-67700, velocity='20000'),1.13,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-705000, velocity='80000'),2.24,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-730000, velocity='80000'),2.24,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.19,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.18,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-1075000, velocity='80000'),1.15,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-1094000, velocity='80000'),1.13,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-1093000, velocity='80000'),1.12,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-1092000, velocity='80000'),1.12,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-1089000, velocity='80000'),1.36,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-1073000, velocity='80000'),1.37,
