Wait 80 seconds,delay,80,
Wait 40 seconds,delay,40,
Wait 80 seconds,delay,80,
Wait 40 seconds,delay,40,
Wait 80 seconds,delay,80,
Wait 120 seconds,delay,120,
Wait 80 seconds,delay,80,
Wait 40 seconds,delay,40,
Wait 80 seconds,delay,80,
Wait 40 seconds,delay,40,
Wait 80 seconds,delay,80,
Wait 40 seconds,delay,40,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),0.97,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),66.38,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.28,
Aspirate 80 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=800, pressure=-13, pipette_tip_type=200),6.27,
Dispense 80 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=800, pressure=100, turn_off_air_valve=True),4.35,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-248500, velocity='300000'),1.15,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-1003000, velocity='800000'),1.13,
Aspirate 80 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=800, pressure=-13, pipette_tip_type=200),6.11,
Dispense 80 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=800, pressure=100, turn_off_air_valve=True),4.31,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-248300, velocity='300000'),1.16,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1005000, velocity='800000'),1.15,
Aspirate 80 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=800, pressure=-13, pipette_tip_type=200),6.27,
Dispense 80 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=800, pressure=100, turn_off_air_valve=True),4.29,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-248300, velocity='300000'),1.16,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1005500, velocity='800000'),1.42,
Aspirate 80 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=800, pressure=-13, pipette_tip_type=200),6.66,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=0, velocity='800000'),7.15,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-248500, velocity='300000'),1.14,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-1003000, velocity='800000'),1.14,
Aspirate 80 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=800, pressure=-13, pipette_tip_type=200),6.67,
Dispense 80 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=800, pressure=100, turn_off_air_valve=True),4.39,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-248500, velocity='300000'),1.35,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1005500, velocity='800000'),1.22,
