Aspirate 800 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=8000, pressure=-100, pipette_tip_type=1000),6.02,
Aspirate 800 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=8000, pressure=-100, pipette_tip_type=1000),6.09,
Dispense 800 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=8000, pressure=100, turn_off_air_valve=True),6.77,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=88706, velocity='800000'),4.94,
Aspirate 800 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=8000, pressure=-100, pipette_tip_type=1000),6.18,
Dispense 800 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=8000, pressure=100, turn_off_air_valve=True),6.78,
Aspirate 800 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=8000, pressure=-100, pipette_tip_type=1000),6.17,
Dispense 800 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=8000, pressure=100, turn_off_air_valve=True),6.81,
Aspirate 800 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=8000, pressure=-100, pipette_tip_type=1000),6.21,
Dispense 800 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=8000, pressure=100, turn_off_air_valve=True),6.91,
Dispense 800 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=8000, pressure=100, turn_off_air_valve=True),6.87,
Aspirate 300 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=3000, pressure=-100, pipette_tip_type=1000),4.43,
Dispense 300 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=3000, pressure=100, turn_off_air_valve=True),4.98,
Aspirate 300 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=3000, pressure=-100, pipette_tip_type=1000),4.39,
Dispense 300 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=3000, pressure=100, turn_off_air_valve=True),4.98,
Aspirate 300 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=3000, pressure=-100, pipette_tip_type=1000),4.4,
Dispense 300 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=3000, pressure=100, turn_off_air_valve=True),6.91,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),43.83,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=87972, velocity='800000'),4.97,
Aspirate 60 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=600, pressure=-100, pipette_tip_type=1000),3.54,
Dispense 60 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=600, pressure=100, turn_off_air_valve=True),4.09,
Aspirate 60 uL,api.upper_gantry.upper_gantry.aspirate(aspirate_vol=600, pressure=-100, pipette_tip_type=1000),3.49,
Dispense 60 uL,api.upper_gantry.upper_gantry.dispense(dispense_vol=600, pressure=100, turn_off_air_valve=True),4.12,
