Wait 3 minutes,delay,180.0,
Wait 120 seconds,delay,120,
Wait 240 seconds,delay,240,
Wait 120 seconds,delay,120,
Wait 240 seconds,delay,240,
Wait 120 seconds,delay,120,
Wait 240 seconds,delay,240,
Wait 120 seconds,delay,120,
Wait 240 seconds,delay,240,
Wait 120 seconds,delay,120,
Wait 240 seconds,delay,240,
Wait 120 seconds,delay,120,
Wait 240 seconds,delay,240,
Wait 3 minutes,delay,180.0,
Wait 140 seconds,delay,140,
Wait 260 seconds,delay,260,
Wait 140 seconds,delay,140,
Wait 260 seconds,delay,260,
Wait 140 seconds,delay,140,
Wait 260 seconds,delay,260,
Wait 140 seconds,delay,140,
Wait 260 seconds,delay,260,
Wait 140 seconds,delay,140,
Wait 260 seconds,delay,260,
Wait 140 seconds,delay,140,
Wait 260 seconds,delay,260,
