Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1040000, velocity='80000'),0.95,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1045000, velocity='80000'),0.96,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1047000, velocity='80000'),0.94,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1051000, velocity='80000'),0.96,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1053000, velocity='80000'),0.96,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),30.93,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1023000, velocity='80000'),0.95,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1033000, velocity='80000'),0.96,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1043000, velocity='80000'),0.96,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-943000, velocity='80000'),0.95,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1023000, velocity='80000'),0.97,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1033000, velocity='80000'),0.98,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1048000, velocity='80000'),0.95,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-17900, velocity='20000'),0.94,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1050000, velocity='80000'),0.94,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1052000, velocity='80000'),0.97,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1057000, velocity='80000'),0.96,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=94770, velocity='800000'),4.87,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),20.56,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1057000, velocity='800000'),0.93,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=88309, velocity='800000'),4.92,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),19.56,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1057000, velocity='800000'),0.93,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),31.31,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=137212, velocity='800000'),4.94,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),20.42,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=-957000, velocity='80000'),0.97,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=backwards, value=-514500, velocity='150000'),0.95,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=backwards, value=-314500, velocity='150000'),0.98,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=backwards, value=-194500, velocity='150000'),0.96,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=backwards, value=-74500, velocity='150000'),0.98,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=forwards, value=-114500, velocity='150000'),0.94,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=backwards, value=-109500, velocity='150000'),0.97,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1007000, velocity='80000'),0.93,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=backwards, value=-104500, velocity='150000'),0.94,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=backwards, value=-103500, velocity='150000'),0.96,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=backwards, value=-98500, velocity='150000'),0.94,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1027000, velocity='80000'),0.89,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1037000, velocity='80000'),0.95,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1047000, velocity='80000'),0.95,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1049000, velocity='80000'),0.92,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1053000, velocity='80000'),0.93,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1057000, velocity='80000'),0.96,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1059000, velocity='80000'),0.95,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),26.91,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=left, value=-262000, velocity='20000'),0.94,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=left, value=-287000, velocity='20000'),1.0,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-267000, velocity='20000'),0.98,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-600019, velocity='80000'),8.66,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-850019, velocity='80000'),1.19,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-900019, velocity='80000'),0.93,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-266000, velocity='20000'),0.92,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-261000, velocity='20000'),0.98,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=left, value=-263000, velocity='20000'),0.97,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=right, value=-262500, velocity='20000'),0.92,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=left, value=-263000, velocity='20000'),0.96,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1000019, velocity='80000'),0.96,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=left, value=-263500, velocity='20000'),0.95,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1050019, velocity='80000'),0.96,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1055019, velocity='80000'),0.94,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1060019, velocity='80000'),0.97,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1065019, velocity='80000'),0.95,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=down, value=-1085019, velocity='800000'),0.95,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),48.17,
Home the Seyonic Pipettor,api.upper_gantry.upper_gantry.home_pipettor(),19.58,
Move relative,api.upper_gantry.upper_gantry.move_relative(direction=up, value=82633, velocity='800000'),4.93,
Wait 0.5 seconds,delay,0.5,
Wait 0.25 seconds,delay,0.25,
Wait 1 second,delay,1,
Wait 1 second,delay,1,
Wait 1 second,delay,1,
Wait 1 second,delay,1,
Wait 1 second,delay,1,
Wait 1 second,delay,1,
Wait 1 second,delay,1,
