Seyonic Pipettor Initializing...,Tue Jun  6 14:05:49 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 14:06:23 2023,
close_valve(channel=0),Tue Jun  6 14:06:24 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 14:06:25 2023,
dispense(pressure=100),Tue Jun  6 14:06:47 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 14:06:47 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 14:06:49 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 14:07:41 2023,
close_valve(channel=0),Tue Jun  6 14:07:42 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 14:07:43 2023,
dispense(pressure=100),Tue Jun  6 14:07:59 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 14:07:59 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 14:08:01 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 14:08:04 2023,
close_valve(channel=0),Tue Jun  6 14:08:05 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 14:08:06 2023,
dispense(pressure=100),Tue Jun  6 14:08:11 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 14:08:11 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 14:08:13 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 14:08:18 2023,
close_valve(channel=0),Tue Jun  6 14:08:19 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 14:08:20 2023,
dispense(pressure=100),Tue Jun  6 14:08:25 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 14:08:25 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 14:08:27 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 14:08:32 2023,
close_valve(channel=0),Tue Jun  6 14:08:33 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 14:08:35 2023,
dispense(pressure=100),Tue Jun  6 14:08:40 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 14:08:40 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 14:08:42 2023,
dispense(pressure=100),Tue Jun  6 14:08:52 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 14:08:52 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 14:08:54 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 14:08:58 2023,
close_valve(channel=0),Tue Jun  6 14:09:00 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 14:09:01 2023,
dispense(pressure=100),Tue Jun  6 14:09:05 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 14:09:05 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 14:09:07 2023,
dispense(pressure=100),Tue Jun  6 14:09:12 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 14:09:12 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 14:09:14 2023,
set_pressure(pressure=-13; direction=None),Tue Jun  6 14:09:19 2023,
close_valve(channel=0),Tue Jun  6 14:09:20 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 14:09:21 2023,
dispense(pressure=10),Tue Jun  6 14:09:40 2023,
set_pressure(pressure=10; direction=1),Tue Jun  6 14:09:40 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 14:09:43 2023,
open_valve(),Tue Jun  6 14:09:44 2023,
close_valve(channel=0),Tue Jun  6 14:09:54 2023,
