Seyonic Pipettor Initializing...,Tue Oct  3 12:43:44 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 12:44:06 2023,
close_valve(channel=0),Tue Oct  3 12:44:07 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 12:44:08 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 12:44:18 2023,
close_valve(channel=0),Tue Oct  3 12:44:19 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 12:44:20 2023,
dispense(pressure=100),Tue Oct  3 12:44:30 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 12:44:30 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 12:44:32 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 12:44:34 2023,
close_valve(channel=0),Tue Oct  3 12:44:35 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 12:44:36 2023,
dispense(pressure=100),Tue Oct  3 12:44:37 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 12:44:37 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 12:44:39 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 12:44:41 2023,
close_valve(channel=0),Tue Oct  3 12:44:42 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 12:44:43 2023,
dispense(pressure=100),Tue Oct  3 12:44:44 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 12:44:44 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 12:44:46 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 12:44:48 2023,
close_valve(channel=0),Tue Oct  3 12:44:49 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 12:44:50 2023,
dispense(pressure=100),Tue Oct  3 12:44:51 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 12:44:51 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 12:44:53 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 12:44:55 2023,
close_valve(channel=0),Tue Oct  3 12:44:57 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 12:44:58 2023,
dispense(pressure=100),Tue Oct  3 12:45:20 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 12:45:20 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 12:45:22 2023,
