Seyonic Pipettor Initializing...,Tue Jul 11 13:21:44 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 11 13:22:03 2023,
close_valve(channel=0),Tue Jul 11 13:22:07 2023,
set_pressure(pressure=0; direction=2),Tue Jul 11 13:22:08 2023,
dispense(pressure=100),Tue Jul 11 13:22:10 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 13:22:10 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 13:22:14 2023,
dispense(pressure=100),Tue Jul 11 13:22:21 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 13:22:21 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 13:22:23 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 11 13:22:26 2023,
close_valve(channel=0),Tue Jul 11 13:22:30 2023,
set_pressure(pressure=0; direction=2),Tue Jul 11 13:22:31 2023,
dispense(pressure=100),Tue Jul 11 13:22:38 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 13:22:38 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 13:22:43 2023,
dispense(pressure=100),Tue Jul 11 13:22:50 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 13:22:50 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 13:22:53 2023,
dispense(pressure=100),Tue Jul 11 13:23:00 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 13:23:00 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 13:23:02 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 11 13:23:11 2023,
close_valve(channel=0),Tue Jul 11 13:23:14 2023,
set_pressure(pressure=0; direction=2),Tue Jul 11 13:23:15 2023,
dispense(pressure=100),Tue Jul 11 13:23:17 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 13:23:17 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 13:23:21 2023,
dispense(pressure=100),Tue Jul 11 13:23:28 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 13:23:28 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 13:23:30 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 11 13:23:33 2023,
close_valve(channel=0),Tue Jul 11 13:23:37 2023,
