Seyonic Pipettor Initializing...,Fri Sep 22 10:44:13 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 10:44:18 2023,
close_valve(channel=0),Fri Sep 22 10:44:22 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 10:44:24 2023,
dispense(pressure=100),Fri Sep 22 10:44:33 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 10:44:33 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 10:44:37 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 10:45:11 2023,
close_valve(channel=0),Fri Sep 22 10:45:13 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 10:45:14 2023,
dispense(pressure=100),Fri Sep 22 10:45:23 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 10:45:23 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 10:45:25 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 10:45:37 2023,
close_valve(channel=0),Fri Sep 22 10:45:39 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 10:45:40 2023,
dispense(pressure=100),Fri Sep 22 10:45:41 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 10:45:41 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 10:45:44 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 10:45:46 2023,
close_valve(channel=0),Fri Sep 22 10:45:48 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 10:45:49 2023,
dispense(pressure=100),Fri Sep 22 10:45:50 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 10:45:50 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 10:45:53 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 10:45:55 2023,
close_valve(channel=0),Fri Sep 22 10:45:56 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 10:45:57 2023,
dispense(pressure=100),Fri Sep 22 10:45:59 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 10:45:59 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 10:46:01 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 10:46:24 2023,
close_valve(channel=0),Fri Sep 22 10:46:25 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 10:46:26 2023,
dispense(pressure=100),Fri Sep 22 10:46:27 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 10:46:27 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 10:46:29 2023,
dispense(pressure=100),Fri Sep 22 10:46:53 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 10:46:53 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 10:46:55 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 10:49:01 2023,
close_valve(channel=0),Fri Sep 22 10:49:03 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 10:49:04 2023,
dispense(pressure=100),Fri Sep 22 10:49:13 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 10:49:13 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 10:49:16 2023,
dispense(pressure=100),Fri Sep 22 10:49:23 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 10:49:23 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 10:49:25 2023,
dispense(pressure=100),Fri Sep 22 10:49:32 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 10:49:32 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 10:49:34 2023,
