Seyonic Pipettor Initializing...,Tue Sep 19 12:52:20 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 12:52:41 2023,
close_valve(channel=0),Tue Sep 19 12:52:44 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 12:52:45 2023,
dispense(pressure=100),Tue Sep 19 12:52:47 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 12:52:47 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 12:52:51 2023,
dispense(pressure=100),Tue Sep 19 12:52:58 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 12:52:58 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 12:53:01 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 12:53:04 2023,
close_valve(channel=0),Tue Sep 19 12:53:08 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 12:53:09 2023,
dispense(pressure=100),Tue Sep 19 12:53:17 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 12:53:17 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 12:53:22 2023,
dispense(pressure=100),Tue Sep 19 12:53:26 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 12:53:26 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 12:53:28 2023,
dispense(pressure=100),Tue Sep 19 12:53:32 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 12:53:32 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 12:53:35 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 12:53:43 2023,
close_valve(channel=0),Tue Sep 19 12:53:47 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 12:53:48 2023,
dispense(pressure=100),Tue Sep 19 12:53:50 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 12:53:50 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 12:53:54 2023,
dispense(pressure=100),Tue Sep 19 12:53:58 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 12:53:58 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 12:54:00 2023,
