Seyonic Pipettor Initializing...,Wed Sep 20 16:21:35 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 20 16:21:56 2023,
close_valve(channel=0),Wed Sep 20 16:21:58 2023,
set_pressure(pressure=0; direction=2),Wed Sep 20 16:21:59 2023,
dispense(pressure=100),Wed Sep 20 16:22:19 2023,
set_pressure(pressure=100; direction=1),Wed Sep 20 16:22:19 2023,
set_pressure(pressure=0; direction=1),Wed Sep 20 16:22:21 2023,
dispense(pressure=100),Wed Sep 20 16:22:34 2023,
set_pressure(pressure=100; direction=1),Wed Sep 20 16:22:34 2023,
set_pressure(pressure=0; direction=1),Wed Sep 20 16:22:36 2023,
change_timeout(timeout_in_seconds=200),Wed Sep 20 16:23:09 2023,
set_pressure(pressure=-500; direction=2),Wed Sep 20 16:23:09 2023,
open_valve(),Wed Sep 20 16:23:10 2023,
close_valve(channel=0),Wed Sep 20 16:25:57 2023,
set_pressure(pressure=0; direction=2),Wed Sep 20 16:25:57 2023,
set_pressure(pressure=241; direction=1),Wed Sep 20 16:25:57 2023,
set_pressure(pressure=0; direction=1),Wed Sep 20 16:25:57 2023,
change_timeout(timeout_in_seconds=65),Wed Sep 20 16:26:00 2023,
change_timeout(timeout_in_seconds=200),Wed Sep 20 16:26:09 2023,
set_pressure(pressure=-500; direction=2),Wed Sep 20 16:26:09 2023,
open_valve(),Wed Sep 20 16:26:10 2023,
close_valve(channel=0),Wed Sep 20 16:28:56 2023,
set_pressure(pressure=0; direction=2),Wed Sep 20 16:28:57 2023,
set_pressure(pressure=241; direction=1),Wed Sep 20 16:28:57 2023,
set_pressure(pressure=0; direction=1),Wed Sep 20 16:28:57 2023,
change_timeout(timeout_in_seconds=65),Wed Sep 20 16:29:00 2023,
