Seyonic Pipettor Initializing...,Fri Sep 15 12:17:57 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 12:18:04 2023,
close_valve(channel=0),Fri Sep 15 12:18:06 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 12:18:07 2023,
dispense(pressure=100),Fri Sep 15 12:18:09 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 12:18:09 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 12:18:12 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 12:18:15 2023,
close_valve(channel=0),Fri Sep 15 12:18:16 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 12:18:17 2023,
dispense(pressure=100),Fri Sep 15 12:18:19 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 12:18:19 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 12:18:22 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 12:18:25 2023,
close_valve(channel=0),Fri Sep 15 12:18:26 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 12:18:27 2023,
dispense(pressure=100),Fri Sep 15 12:18:29 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 12:18:29 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 12:18:32 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 12:18:35 2023,
close_valve(channel=0),Fri Sep 15 12:18:36 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 12:18:37 2023,
dispense(pressure=100),Fri Sep 15 12:18:39 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 12:18:39 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 12:18:42 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 12:18:45 2023,
close_valve(channel=0),Fri Sep 15 12:18:47 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 12:18:48 2023,
dispense(pressure=100),Fri Sep 15 12:18:50 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 12:18:50 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 12:18:52 2023,
dispense(pressure=100),Fri Sep 15 12:18:58 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 12:18:58 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 12:19:00 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 12:19:36 2023,
close_valve(channel=0),Fri Sep 15 12:19:38 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 12:19:39 2023,
dispense(pressure=100),Fri Sep 15 12:19:48 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 12:19:48 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 12:19:50 2023,
dispense(pressure=100),Fri Sep 15 12:19:54 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 12:19:54 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 12:19:56 2023,
