Seyonic Pipettor Initializing...,Thu Aug  3 10:47:59 2023,
set_pressure(pressure=-100; direction=None),Thu Aug  3 10:48:35 2023,
close_valve(channel=0),Thu Aug  3 10:48:36 2023,
set_pressure(pressure=0; direction=2),Thu Aug  3 10:48:37 2023,
dispense(pressure=20),Thu Aug  3 10:48:47 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 10:48:47 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 10:48:50 2023,
set_pressure(pressure=-8; direction=None),Thu Aug  3 10:48:52 2023,
close_valve(channel=0),Thu Aug  3 10:48:54 2023,
set_pressure(pressure=0; direction=2),Thu Aug  3 10:48:55 2023,
dispense(pressure=20),Thu Aug  3 10:49:13 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 10:49:13 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 10:49:15 2023,
set_pressure(pressure=-8; direction=None),Thu Aug  3 10:49:17 2023,
close_valve(channel=0),Thu Aug  3 10:49:19 2023,
set_pressure(pressure=0; direction=2),Thu Aug  3 10:49:20 2023,
dispense(pressure=20),Thu Aug  3 10:49:32 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 10:49:32 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 10:49:44 2023,
dispense(pressure=20),Thu Aug  3 10:49:46 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 10:49:46 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 10:49:58 2023,
