Seyonic Pipettor Initializing...,Wed Aug  2 15:22:24 2023,
set_pressure(pressure=-100; direction=None),Wed Aug  2 15:22:30 2023,
close_valve(channel=0),Wed Aug  2 15:22:31 2023,
set_pressure(pressure=0; direction=2),Wed Aug  2 15:22:32 2023,
dispense(pressure=20),Wed Aug  2 15:22:43 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:22:43 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:22:45 2023,
set_pressure(pressure=-8; direction=None),Wed Aug  2 15:22:47 2023,
close_valve(channel=0),Wed Aug  2 15:22:49 2023,
set_pressure(pressure=0; direction=2),Wed Aug  2 15:22:50 2023,
dispense(pressure=20),Wed Aug  2 15:23:08 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:23:08 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:23:10 2023,
set_pressure(pressure=-8; direction=None),Wed Aug  2 15:23:12 2023,
close_valve(channel=0),Wed Aug  2 15:23:14 2023,
set_pressure(pressure=0; direction=2),Wed Aug  2 15:23:15 2023,
dispense(pressure=20),Wed Aug  2 15:23:27 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:23:27 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:23:30 2023,
