Seyonic Pipettor Initializing...,Thu Aug 24 10:33:16 2023,
dispense(pressure=100),Thu Aug 24 10:38:03 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:38:03 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:38:06 2023,
dispense(pressure=100),Thu Aug 24 10:38:12 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:38:12 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:38:14 2023,
dispense(pressure=100),Thu Aug 24 10:38:18 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:38:18 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:38:20 2023,
dispense(pressure=100),Thu Aug 24 10:38:24 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:38:24 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:38:26 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:39:02 2023,
close_valve(channel=0),Thu Aug 24 10:39:03 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:39:04 2023,
dispense(pressure=100),Thu Aug 24 10:39:06 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:39:06 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:39:09 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:39:12 2023,
close_valve(channel=0),Thu Aug 24 10:39:13 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:39:14 2023,
dispense(pressure=100),Thu Aug 24 10:39:16 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:39:16 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:39:18 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:39:22 2023,
close_valve(channel=0),Thu Aug 24 10:39:23 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:39:24 2023,
dispense(pressure=100),Thu Aug 24 10:39:26 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:39:26 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:39:28 2023,
dispense(pressure=100),Thu Aug 24 10:39:33 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:39:33 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:39:35 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:42:09 2023,
close_valve(channel=0),Thu Aug 24 10:42:11 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:42:12 2023,
dispense(pressure=100),Thu Aug 24 10:42:21 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:42:21 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:42:24 2023,
dispense(pressure=100),Thu Aug 24 10:42:29 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:42:29 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:42:31 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:42:42 2023,
close_valve(channel=0),Thu Aug 24 10:42:44 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:42:45 2023,
dispense(pressure=100),Thu Aug 24 10:42:57 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:42:57 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:42:59 2023,
dispense(pressure=100),Thu Aug 24 10:43:03 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:43:04 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:43:06 2023,
dispense(pressure=100),Thu Aug 24 10:43:10 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 10:43:10 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:43:12 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:43:15 2023,
close_valve(channel=0),Thu Aug 24 10:43:16 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:43:17 2023,
dispense(pressure=200),Thu Aug 24 10:43:24 2023,
set_pressure(pressure=200; direction=1),Thu Aug 24 10:43:24 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:43:26 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:43:33 2023,
close_valve(channel=0),Thu Aug 24 10:43:34 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:43:36 2023,
dispense(pressure=200),Thu Aug 24 10:43:41 2023,
set_pressure(pressure=200; direction=1),Thu Aug 24 10:43:42 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:43:44 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:43:51 2023,
close_valve(channel=0),Thu Aug 24 10:43:52 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:43:54 2023,
dispense(pressure=200),Thu Aug 24 10:44:00 2023,
set_pressure(pressure=200; direction=1),Thu Aug 24 10:44:00 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:44:02 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 10:44:09 2023,
close_valve(channel=0),Thu Aug 24 10:44:10 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 10:44:12 2023,
dispense(pressure=200),Thu Aug 24 10:44:18 2023,
set_pressure(pressure=200; direction=1),Thu Aug 24 10:44:18 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 10:44:20 2023,
