Seyonic Pipettor Initializing...,Tue Aug  1 12:58:27 2023,
dispense(pressure=100),Tue Aug  1 12:58:28 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 12:58:28 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:58:31 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 12:58:34 2023,
close_valve(channel=0),Tue Aug  1 12:58:36 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 12:58:37 2023,
dispense(pressure=100),Tue Aug  1 12:58:39 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 12:58:39 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:58:41 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 12:58:45 2023,
close_valve(channel=0),Tue Aug  1 12:58:47 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 12:58:48 2023,
dispense(pressure=100),Tue Aug  1 12:58:50 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 12:58:50 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:58:52 2023,
dispense(pressure=100),Tue Aug  1 12:58:58 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 12:58:58 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:59:00 2023,
dispense(pressure=100),Tue Aug  1 12:59:04 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 12:59:04 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:59:07 2023,
dispense(pressure=100),Tue Aug  1 12:59:11 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 12:59:11 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:59:13 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 12:59:48 2023,
close_valve(channel=0),Tue Aug  1 12:59:50 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 12:59:51 2023,
dispense(pressure=100),Tue Aug  1 12:59:53 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 12:59:53 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:59:56 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 12:59:59 2023,
close_valve(channel=0),Tue Aug  1 13:00:01 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 13:00:02 2023,
dispense(pressure=100),Tue Aug  1 13:00:04 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 13:00:04 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 13:00:06 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 13:00:09 2023,
close_valve(channel=0),Tue Aug  1 13:00:11 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 13:00:12 2023,
dispense(pressure=100),Tue Aug  1 13:00:14 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 13:00:14 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 13:00:17 2023,
dispense(pressure=100),Tue Aug  1 13:00:22 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 13:00:22 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 13:00:24 2023,
set_pressure(pressure=-8; direction=None),Tue Aug  1 13:02:58 2023,
close_valve(channel=1),Tue Aug  1 13:03:04 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 13:03:05 2023,
close_valve(channel=0),Tue Aug  1 13:03:05 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 13:03:06 2023,
dispense(pressure=20),Tue Aug  1 13:03:15 2023,
set_pressure(pressure=20; direction=1),Tue Aug  1 13:03:15 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 13:03:22 2023,
dispense(pressure=20),Tue Aug  1 13:03:27 2023,
set_pressure(pressure=20; direction=1),Tue Aug  1 13:03:27 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 13:03:30 2023,
set_pressure(pressure=-8; direction=None),Tue Aug  1 13:03:41 2023,
close_valve(channel=2),Tue Aug  1 13:03:47 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 13:03:48 2023,
close_valve(channel=0),Tue Aug  1 13:03:48 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 13:03:49 2023,
dispense(pressure=20),Tue Aug  1 13:04:01 2023,
set_pressure(pressure=20; direction=1),Tue Aug  1 13:04:01 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 13:04:07 2023,
dispense(pressure=20),Tue Aug  1 13:04:11 2023,
set_pressure(pressure=20; direction=1),Tue Aug  1 13:04:11 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 13:04:14 2023,
dispense(pressure=20),Tue Aug  1 13:04:18 2023,
set_pressure(pressure=20; direction=1),Tue Aug  1 13:04:18 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 13:04:20 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 13:04:23 2023,
close_valve(channel=0),Tue Aug  1 13:04:26 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 13:04:27 2023,
dispense(pressure=200),Tue Aug  1 13:04:33 2023,
set_pressure(pressure=200; direction=1),Tue Aug  1 13:04:33 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 13:04:35 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 13:04:42 2023,
close_valve(channel=0),Tue Aug  1 13:04:44 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 13:04:45 2023,
dispense(pressure=200),Tue Aug  1 13:04:51 2023,
set_pressure(pressure=200; direction=1),Tue Aug  1 13:04:51 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 13:04:54 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 13:05:01 2023,
close_valve(channel=0),Tue Aug  1 13:05:03 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 13:05:04 2023,
dispense(pressure=200),Tue Aug  1 13:05:10 2023,
set_pressure(pressure=200; direction=1),Tue Aug  1 13:05:10 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 13:05:12 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 13:05:19 2023,
close_valve(channel=0),Tue Aug  1 13:05:21 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 13:05:22 2023,
dispense(pressure=200),Tue Aug  1 13:05:28 2023,
set_pressure(pressure=200; direction=1),Tue Aug  1 13:05:28 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 13:05:31 2023,
dispense(pressure=100),Tue Aug  1 13:05:41 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 13:05:41 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 13:05:43 2023,
dispense(pressure=100),Tue Aug  1 13:05:47 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 13:05:47 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 13:05:49 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 13:12:16 2023,
close_valve(channel=0),Tue Aug  1 13:12:19 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 13:12:20 2023,
dispense(pressure=100),Tue Aug  1 13:12:30 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 13:12:30 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 13:12:33 2023,
dispense(pressure=100),Tue Aug  1 13:12:37 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 13:12:37 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 13:12:39 2023,
