Seyonic Pipettor Initializing...,Thu Aug  3 15:25:09 2023,
dispense(pressure=20),Thu Aug  3 15:25:10 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:25:10 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:25:12 2023,
dispense(pressure=20),Thu Aug  3 15:25:17 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:25:17 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:25:19 2023,
dispense(pressure=20),Thu Aug  3 15:25:24 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:25:24 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:25:26 2023,
dispense(pressure=20),Thu Aug  3 15:25:31 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:25:31 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:25:33 2023,
dispense(pressure=20),Thu Aug  3 15:25:38 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:25:38 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:25:40 2023,
dispense(pressure=20),Thu Aug  3 15:25:45 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:25:45 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:25:47 2023,
