Seyonic Pipettor Initializing...,Mon Jul 24 14:52:44 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 24 14:53:06 2023,
close_valve(channel=0),Mon Jul 24 14:53:08 2023,
set_pressure(pressure=0; direction=2),Mon Jul 24 14:53:09 2023,
dispense(pressure=100),Mon Jul 24 14:53:21 2023,
set_pressure(pressure=100; direction=1),Mon Jul 24 14:53:21 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 14:53:23 2023,
dispense(pressure=100),Mon Jul 24 14:53:35 2023,
set_pressure(pressure=100; direction=1),Mon Jul 24 14:53:35 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 14:53:37 2023,
set_pressure(pressure=-100; direction=None),Mon Jul 24 14:53:48 2023,
close_valve(channel=0),Mon Jul 24 14:53:49 2023,
set_pressure(pressure=0; direction=2),Mon Jul 24 14:53:50 2023,
dispense(pressure=100),Mon Jul 24 14:54:01 2023,
set_pressure(pressure=100; direction=1),Mon Jul 24 14:54:01 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 14:54:03 2023,
dispense(pressure=100),Mon Jul 24 14:54:15 2023,
set_pressure(pressure=100; direction=1),Mon Jul 24 14:54:15 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 14:54:17 2023,
change_timeout(timeout_in_seconds=200),Mon Jul 24 14:54:50 2023,
set_pressure(pressure=-241; direction=2),Mon Jul 24 14:54:50 2023,
open_valve(),Mon Jul 24 14:54:51 2023,
close_valve(channel=0),Mon Jul 24 14:57:37 2023,
set_pressure(pressure=0; direction=2),Mon Jul 24 14:57:38 2023,
set_pressure(pressure=241; direction=1),Mon Jul 24 14:57:38 2023,
set_pressure(pressure=0; direction=1),Mon Jul 24 14:57:38 2023,
change_timeout(timeout_in_seconds=65),Mon Jul 24 14:57:41 2023,
