Seyonic Pipettor Initializing...,Tue Aug 22 14:11:27 2023,
set_pressure(pressure=-100; direction=None),Tue Aug 22 14:11:35 2023,
close_valve(channel=0),Tue Aug 22 14:11:36 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:11:37 2023,
dispense(pressure=100),Tue Aug 22 14:11:47 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:11:47 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:11:49 2023,
dispense(pressure=100),Tue Aug 22 14:11:53 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:11:53 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:11:55 2023,
set_pressure(pressure=-100; direction=None),Tue Aug 22 14:11:58 2023,
close_valve(channel=0),Tue Aug 22 14:12:00 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:12:01 2023,
dispense(pressure=100),Tue Aug 22 14:12:03 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:12:03 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:12:06 2023,
set_pressure(pressure=-100; direction=None),Tue Aug 22 14:12:09 2023,
close_valve(channel=0),Tue Aug 22 14:12:10 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:12:11 2023,
dispense(pressure=100),Tue Aug 22 14:12:14 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:12:14 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:12:16 2023,
set_pressure(pressure=-100; direction=None),Tue Aug 22 14:12:19 2023,
close_valve(channel=0),Tue Aug 22 14:12:21 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:12:22 2023,
dispense(pressure=100),Tue Aug 22 14:12:24 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:12:24 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:12:26 2023,
set_pressure(pressure=-100; direction=None),Tue Aug 22 14:12:29 2023,
close_valve(channel=0),Tue Aug 22 14:12:31 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:12:32 2023,
dispense(pressure=100),Tue Aug 22 14:12:34 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:12:34 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:12:37 2023,
set_pressure(pressure=-100; direction=None),Tue Aug 22 14:12:40 2023,
close_valve(channel=0),Tue Aug 22 14:12:41 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:12:42 2023,
dispense(pressure=100),Tue Aug 22 14:12:44 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:12:45 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:12:47 2023,
set_pressure(pressure=-100; direction=None),Tue Aug 22 14:12:50 2023,
close_valve(channel=0),Tue Aug 22 14:12:52 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:12:53 2023,
dispense(pressure=100),Tue Aug 22 14:12:55 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:12:55 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:12:57 2023,
dispense(pressure=100),Tue Aug 22 14:13:03 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:13:03 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:13:05 2023,
dispense(pressure=100),Tue Aug 22 14:13:09 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:13:09 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:13:11 2023,
dispense(pressure=100),Tue Aug 22 14:13:15 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:13:15 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:13:18 2023,
set_pressure(pressure=-100; direction=None),Tue Aug 22 14:13:53 2023,
close_valve(channel=0),Tue Aug 22 14:13:55 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:13:56 2023,
dispense(pressure=100),Tue Aug 22 14:13:58 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:13:58 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:14:00 2023,
set_pressure(pressure=-100; direction=None),Tue Aug 22 14:14:03 2023,
close_valve(channel=0),Tue Aug 22 14:14:05 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:14:06 2023,
dispense(pressure=100),Tue Aug 22 14:14:08 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:14:08 2023,
set_pressure(pressure=0; direction=1),Tue Aug 22 14:14:10 2023,
set_pressure(pressure=-100; direction=None),Tue Aug 22 14:14:13 2023,
close_valve(channel=0),Tue Aug 22 14:14:15 2023,
set_pressure(pressure=0; direction=2),Tue Aug 22 14:14:16 2023,
dispense(pressure=100),Tue Aug 22 14:14:18 2023,
set_pressure(pressure=100; direction=1),Tue Aug 22 14:14:18 2023,
