Seyonic Pipettor Initializing...,Fri Jun 30 13:35:05 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 13:35:06 2023,
close_valve(channel=0),Fri Jun 30 13:35:09 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:35:10 2023,
dispense(pressure=200),Fri Jun 30 13:35:11 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:35:11 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:35:14 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 13:35:16 2023,
close_valve(channel=0),Fri Jun 30 13:35:19 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:35:20 2023,
dispense(pressure=200),Fri Jun 30 13:35:21 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:35:21 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:35:25 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 13:35:27 2023,
close_valve(channel=0),Fri Jun 30 13:35:30 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:35:31 2023,
dispense(pressure=200),Fri Jun 30 13:35:32 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:35:32 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:35:35 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 13:35:37 2023,
close_valve(channel=0),Fri Jun 30 13:35:41 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:35:42 2023,
dispense(pressure=200),Fri Jun 30 13:35:43 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:35:43 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:35:46 2023,
dispense(pressure=200),Fri Jun 30 13:35:52 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:35:52 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:35:54 2023,
dispense(pressure=200),Fri Jun 30 13:35:58 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:35:58 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:36:00 2023,
