Seyonic Pipettor Initializing...,Fri Sep 22 10:59:30 2023,
dispense(pressure=100),Fri Sep 22 10:59:38 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 10:59:38 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 10:59:41 2023,
dispense(pressure=100),Fri Sep 22 10:59:48 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 10:59:48 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 10:59:50 2023,
dispense(pressure=100),Fri Sep 22 10:59:57 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 10:59:57 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 10:59:59 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:00:09 2023,
close_valve(channel=0),Fri Sep 22 11:00:12 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:00:13 2023,
dispense(pressure=100),Fri Sep 22 11:00:21 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:00:21 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:00:25 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:00:27 2023,
close_valve(channel=0),Fri Sep 22 11:00:30 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:00:31 2023,
dispense(pressure=100),Fri Sep 22 11:00:32 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:00:32 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:00:35 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:00:47 2023,
close_valve(channel=0),Fri Sep 22 11:00:51 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:00:52 2023,
dispense(pressure=100),Fri Sep 22 11:01:01 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:01:01 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:01:05 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:01:37 2023,
close_valve(channel=0),Fri Sep 22 11:01:40 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:01:41 2023,
dispense(pressure=100),Fri Sep 22 11:01:50 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:01:50 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:01:53 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:02:05 2023,
close_valve(channel=0),Fri Sep 22 11:02:08 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:02:09 2023,
dispense(pressure=100),Fri Sep 22 11:02:10 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:02:10 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:02:13 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:02:25 2023,
close_valve(channel=0),Fri Sep 22 11:02:29 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:02:30 2023,
dispense(pressure=100),Fri Sep 22 11:02:39 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:02:39 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:02:43 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:03:17 2023,
close_valve(channel=0),Fri Sep 22 11:03:18 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:03:19 2023,
dispense(pressure=100),Fri Sep 22 11:03:30 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:03:30 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:03:32 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:03:43 2023,
close_valve(channel=0),Fri Sep 22 11:03:45 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:03:46 2023,
dispense(pressure=100),Fri Sep 22 11:03:56 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:03:56 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:03:58 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:09:41 2023,
close_valve(channel=0),Fri Sep 22 11:09:43 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:09:44 2023,
