Seyonic Pipettor Initializing...,Fri Sep 22 09:49:55 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 09:49:56 2023,
close_valve(channel=0),Fri Sep 22 09:49:59 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 09:50:00 2023,
dispense(pressure=100),Fri Sep 22 09:50:02 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 09:50:02 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 09:50:06 2023,
dispense(pressure=100),Fri Sep 22 09:50:13 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 09:50:13 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 09:50:16 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 09:50:19 2023,
close_valve(channel=0),Fri Sep 22 09:50:23 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 09:50:24 2023,
dispense(pressure=100),Fri Sep 22 09:50:31 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 09:50:31 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 09:50:36 2023,
dispense(pressure=100),Fri Sep 22 09:50:40 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 09:50:40 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 09:50:43 2023,
dispense(pressure=100),Fri Sep 22 09:50:47 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 09:50:47 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 09:50:49 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 09:50:58 2023,
close_valve(channel=0),Fri Sep 22 09:51:01 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 09:51:02 2023,
dispense(pressure=100),Fri Sep 22 09:51:04 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 09:51:04 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 09:51:08 2023,
dispense(pressure=100),Fri Sep 22 09:51:12 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 09:51:12 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 09:51:14 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 09:51:17 2023,
close_valve(channel=0),Fri Sep 22 09:51:22 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 09:51:23 2023,
dispense(pressure=100),Fri Sep 22 09:51:30 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 09:51:30 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 09:51:35 2023,
dispense(pressure=100),Fri Sep 22 09:51:39 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 09:51:39 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 09:51:42 2023,
dispense(pressure=100),Fri Sep 22 09:51:46 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 09:51:46 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 09:51:48 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 09:51:57 2023,
close_valve(channel=0),Fri Sep 22 09:52:00 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 09:52:01 2023,
dispense(pressure=100),Fri Sep 22 09:52:03 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 09:52:03 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 09:52:07 2023,
dispense(pressure=100),Fri Sep 22 09:52:11 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 09:52:11 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 09:52:14 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 09:52:17 2023,
close_valve(channel=0),Fri Sep 22 09:52:21 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 09:52:22 2023,
dispense(pressure=100),Fri Sep 22 09:52:30 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 09:52:30 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 09:52:35 2023,
dispense(pressure=100),Fri Sep 22 09:52:39 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 09:52:39 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 09:52:41 2023,
dispense(pressure=100),Fri Sep 22 09:52:45 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 09:52:45 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 09:52:48 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 09:52:56 2023,
close_valve(channel=0),Fri Sep 22 09:53:00 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 09:53:01 2023,
dispense(pressure=100),Fri Sep 22 09:53:03 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 09:53:03 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 09:53:07 2023,
dispense(pressure=100),Fri Sep 22 09:53:11 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 09:53:11 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 09:53:13 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 09:53:16 2023,
close_valve(channel=0),Fri Sep 22 09:53:21 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 09:53:22 2023,
dispense(pressure=100),Fri Sep 22 09:53:29 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 09:53:29 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 09:53:34 2023,
dispense(pressure=100),Fri Sep 22 09:53:38 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 09:53:38 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 09:53:41 2023,
dispense(pressure=100),Fri Sep 22 09:53:45 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 09:53:45 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 09:53:47 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 10:14:20 2023,
