Seyonic Pipettor Initializing...,Fri Sep 22 12:20:13 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 12:20:44 2023,
close_valve(channel=0),Fri Sep 22 12:20:45 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 12:20:47 2023,
dispense(pressure=100),Fri Sep 22 12:20:56 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 12:20:56 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 12:20:58 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 12:21:01 2023,
close_valve(channel=0),Fri Sep 22 12:21:02 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 12:21:03 2023,
dispense(pressure=100),Fri Sep 22 12:21:04 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 12:21:04 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 12:21:06 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 12:21:08 2023,
close_valve(channel=0),Fri Sep 22 12:21:09 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 12:21:10 2023,
dispense(pressure=100),Fri Sep 22 12:21:11 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 12:21:11 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 12:21:13 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 12:21:15 2023,
close_valve(channel=0),Fri Sep 22 12:21:16 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 12:21:17 2023,
dispense(pressure=100),Fri Sep 22 12:21:18 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 12:21:18 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 12:21:20 2023,
set_pressure(pressure=-8; direction=None),Fri Sep 22 12:21:22 2023,
close_valve(channel=0),Fri Sep 22 12:21:24 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 12:21:25 2023,
dispense(pressure=20),Fri Sep 22 12:21:27 2023,
set_pressure(pressure=20; direction=1),Fri Sep 22 12:21:27 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 12:21:29 2023,
dispense(pressure=20),Fri Sep 22 12:21:34 2023,
set_pressure(pressure=20; direction=1),Fri Sep 22 12:21:34 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 12:21:35 2023,
dispense(pressure=100),Fri Sep 22 12:22:41 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 12:22:41 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 12:22:43 2023,
