Seyonic Pipettor Initializing...,Thu Jun  1 10:03:55 2023,
dispense(pressure=100),Thu Jun  1 10:04:11 2023,
set_pressure(pressure=100; direction=1),Thu Jun  1 10:04:11 2023,
set_pressure(pressure=0; direction=1),Thu Jun  1 10:04:13 2023,
set_pressure(pressure=-100; direction=None),Thu Jun  1 10:05:03 2023,
close_valve(channel=0),Thu Jun  1 10:05:04 2023,
set_pressure(pressure=0; direction=2),Thu Jun  1 10:05:05 2023,
dispense(pressure=100),Thu Jun  1 10:05:21 2023,
set_pressure(pressure=100; direction=1),Thu Jun  1 10:05:21 2023,
set_pressure(pressure=0; direction=1),Thu Jun  1 10:05:23 2023,
set_pressure(pressure=-100; direction=None),Thu Jun  1 10:05:38 2023,
close_valve(channel=0),Thu Jun  1 10:05:39 2023,
set_pressure(pressure=0; direction=2),Thu Jun  1 10:05:40 2023,
dispense(pressure=100),Thu Jun  1 10:05:54 2023,
set_pressure(pressure=100; direction=1),Thu Jun  1 10:05:54 2023,
set_pressure(pressure=0; direction=1),Thu Jun  1 10:05:56 2023,
set_pressure(pressure=-100; direction=None),Thu Jun  1 10:06:00 2023,
close_valve(channel=0),Thu Jun  1 10:06:01 2023,
set_pressure(pressure=0; direction=2),Thu Jun  1 10:06:02 2023,
dispense(pressure=100),Thu Jun  1 10:06:07 2023,
set_pressure(pressure=100; direction=1),Thu Jun  1 10:06:07 2023,
set_pressure(pressure=0; direction=1),Thu Jun  1 10:06:09 2023,
set_pressure(pressure=-100; direction=None),Thu Jun  1 10:06:11 2023,
close_valve(channel=0),Thu Jun  1 10:06:12 2023,
set_pressure(pressure=0; direction=2),Thu Jun  1 10:06:13 2023,
dispense(pressure=100),Thu Jun  1 10:06:17 2023,
set_pressure(pressure=100; direction=1),Thu Jun  1 10:06:17 2023,
set_pressure(pressure=0; direction=1),Thu Jun  1 10:06:19 2023,
set_pressure(pressure=-100; direction=None),Thu Jun  1 10:06:21 2023,
close_valve(channel=0),Thu Jun  1 10:06:22 2023,
set_pressure(pressure=0; direction=2),Thu Jun  1 10:06:23 2023,
dispense(pressure=100),Thu Jun  1 10:06:27 2023,
set_pressure(pressure=100; direction=1),Thu Jun  1 10:06:27 2023,
set_pressure(pressure=0; direction=1),Thu Jun  1 10:06:29 2023,
set_pressure(pressure=-100; direction=None),Thu Jun  1 10:06:31 2023,
close_valve(channel=0),Thu Jun  1 10:06:33 2023,
set_pressure(pressure=0; direction=2),Thu Jun  1 10:06:34 2023,
dispense(pressure=100),Thu Jun  1 10:06:38 2023,
set_pressure(pressure=100; direction=1),Thu Jun  1 10:06:38 2023,
set_pressure(pressure=0; direction=1),Thu Jun  1 10:06:40 2023,
set_pressure(pressure=-100; direction=None),Thu Jun  1 10:06:42 2023,
close_valve(channel=0),Thu Jun  1 10:06:43 2023,
set_pressure(pressure=0; direction=2),Thu Jun  1 10:06:44 2023,
dispense(pressure=100),Thu Jun  1 10:06:48 2023,
set_pressure(pressure=100; direction=1),Thu Jun  1 10:06:48 2023,
set_pressure(pressure=0; direction=1),Thu Jun  1 10:06:50 2023,
dispense(pressure=100),Thu Jun  1 10:06:55 2023,
set_pressure(pressure=100; direction=1),Thu Jun  1 10:06:55 2023,
set_pressure(pressure=0; direction=1),Thu Jun  1 10:06:57 2023,
set_pressure(pressure=-100; direction=None),Thu Jun  1 10:06:59 2023,
close_valve(channel=0),Thu Jun  1 10:07:00 2023,
set_pressure(pressure=0; direction=2),Thu Jun  1 10:07:01 2023,
dispense(pressure=100),Thu Jun  1 10:07:06 2023,
set_pressure(pressure=100; direction=1),Thu Jun  1 10:07:06 2023,
set_pressure(pressure=0; direction=1),Thu Jun  1 10:07:08 2023,
dispense(pressure=100),Thu Jun  1 10:07:13 2023,
set_pressure(pressure=100; direction=1),Thu Jun  1 10:07:13 2023,
set_pressure(pressure=0; direction=1),Thu Jun  1 10:07:15 2023,
set_pressure(pressure=-100; direction=None),Thu Jun  1 10:07:31 2023,
close_valve(channel=0),Thu Jun  1 10:07:32 2023,
set_pressure(pressure=0; direction=2),Thu Jun  1 10:07:33 2023,
dispense(pressure=100),Thu Jun  1 10:07:48 2023,
set_pressure(pressure=100; direction=1),Thu Jun  1 10:07:48 2023,
set_pressure(pressure=0; direction=1),Thu Jun  1 10:07:50 2023,
dispense(pressure=100),Thu Jun  1 10:07:55 2023,
set_pressure(pressure=100; direction=1),Thu Jun  1 10:07:55 2023,
set_pressure(pressure=0; direction=1),Thu Jun  1 10:07:57 2023,
set_pressure(pressure=-13; direction=None),Thu Jun  1 10:08:02 2023,
close_valve(channel=0),Thu Jun  1 10:08:04 2023,
set_pressure(pressure=0; direction=2),Thu Jun  1 10:08:05 2023,
dispense(pressure=10),Thu Jun  1 10:08:10 2023,
set_pressure(pressure=10; direction=1),Thu Jun  1 10:08:10 2023,
set_pressure(pressure=0; direction=1),Thu Jun  1 10:08:12 2023,
set_pressure(pressure=-13; direction=None),Thu Jun  1 10:08:17 2023,
close_valve(channel=0),Thu Jun  1 10:08:19 2023,
set_pressure(pressure=0; direction=2),Thu Jun  1 10:08:20 2023,
dispense(pressure=10),Thu Jun  1 10:08:25 2023,
set_pressure(pressure=10; direction=1),Thu Jun  1 10:08:25 2023,
set_pressure(pressure=0; direction=1),Thu Jun  1 10:08:27 2023,
set_pressure(pressure=-13; direction=None),Thu Jun  1 10:08:32 2023,
close_valve(channel=0),Thu Jun  1 10:08:34 2023,
set_pressure(pressure=0; direction=2),Thu Jun  1 10:08:35 2023,
dispense(pressure=10),Thu Jun  1 10:08:40 2023,
set_pressure(pressure=10; direction=1),Thu Jun  1 10:08:40 2023,
set_pressure(pressure=0; direction=1),Thu Jun  1 10:08:43 2023,
set_pressure(pressure=-13; direction=None),Thu Jun  1 10:08:48 2023,
close_valve(channel=0),Thu Jun  1 10:08:49 2023,
set_pressure(pressure=0; direction=2),Thu Jun  1 10:08:50 2023,
dispense(pressure=10),Thu Jun  1 10:08:54 2023,
set_pressure(pressure=10; direction=1),Thu Jun  1 10:08:54 2023,
set_pressure(pressure=0; direction=1),Thu Jun  1 10:08:56 2023,
dispense(pressure=10),Thu Jun  1 10:09:01 2023,
set_pressure(pressure=10; direction=1),Thu Jun  1 10:09:01 2023,
set_pressure(pressure=0; direction=1),Thu Jun  1 10:09:03 2023,
set_pressure(pressure=-13; direction=None),Thu Jun  1 10:09:07 2023,
close_valve(channel=0),Thu Jun  1 10:09:09 2023,
set_pressure(pressure=0; direction=2),Thu Jun  1 10:09:10 2023,
dispense(pressure=10),Thu Jun  1 10:09:35 2023,
set_pressure(pressure=10; direction=1),Thu Jun  1 10:09:35 2023,
set_pressure(pressure=0; direction=1),Thu Jun  1 10:09:37 2023,
open_valve(),Thu Jun  1 10:09:39 2023,
close_valve(channel=0),Thu Jun  1 10:09:49 2023,
