Seyonic Pipettor Initializing...,Tue Oct  3 09:49:07 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 09:49:27 2023,
close_valve(channel=0),Tue Oct  3 09:49:31 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 09:49:32 2023,
dispense(pressure=100),Tue Oct  3 09:49:34 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 09:49:34 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 09:49:38 2023,
dispense(pressure=100),Tue Oct  3 09:49:45 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 09:49:45 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 09:49:47 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 09:49:50 2023,
close_valve(channel=0),Tue Oct  3 09:49:55 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 09:49:56 2023,
dispense(pressure=100),Tue Oct  3 09:50:03 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 09:50:03 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 09:50:08 2023,
dispense(pressure=100),Tue Oct  3 09:50:12 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 09:50:12 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 09:50:15 2023,
dispense(pressure=100),Tue Oct  3 09:50:19 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 09:50:19 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 09:50:21 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 09:50:29 2023,
close_valve(channel=0),Tue Oct  3 09:50:33 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 09:50:34 2023,
dispense(pressure=100),Tue Oct  3 09:50:36 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 09:50:36 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 09:50:40 2023,
dispense(pressure=100),Tue Oct  3 09:50:44 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 09:50:44 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 09:50:46 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 09:50:49 2023,
close_valve(channel=0),Tue Oct  3 09:50:54 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 09:50:55 2023,
dispense(pressure=100),Tue Oct  3 09:51:02 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 09:51:02 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 09:51:07 2023,
dispense(pressure=100),Tue Oct  3 09:51:11 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 09:51:11 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 09:51:14 2023,
dispense(pressure=100),Tue Oct  3 09:51:18 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 09:51:18 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 09:51:20 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 09:51:29 2023,
close_valve(channel=0),Tue Oct  3 09:51:32 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 09:51:34 2023,
dispense(pressure=100),Tue Oct  3 09:51:35 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 09:51:35 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 09:51:40 2023,
dispense(pressure=100),Tue Oct  3 09:51:44 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 09:51:44 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 09:51:46 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 09:51:49 2023,
close_valve(channel=0),Tue Oct  3 09:51:53 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 09:51:54 2023,
dispense(pressure=100),Tue Oct  3 09:52:02 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 09:52:02 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 09:52:07 2023,
dispense(pressure=100),Tue Oct  3 09:52:11 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 09:52:11 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 09:52:14 2023,
dispense(pressure=100),Tue Oct  3 09:52:18 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 09:52:18 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 09:52:20 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 09:52:29 2023,
close_valve(channel=0),Tue Oct  3 09:52:32 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 09:52:33 2023,
dispense(pressure=100),Tue Oct  3 09:52:35 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 09:52:35 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 09:52:39 2023,
dispense(pressure=100),Tue Oct  3 09:52:43 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 09:52:43 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 09:52:46 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 09:52:49 2023,
close_valve(channel=0),Tue Oct  3 09:52:53 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 09:52:54 2023,
dispense(pressure=100),Tue Oct  3 09:53:02 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 09:53:02 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 09:53:07 2023,
dispense(pressure=100),Tue Oct  3 09:53:11 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 09:53:11 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 09:53:13 2023,
dispense(pressure=100),Tue Oct  3 09:53:18 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 09:53:18 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 09:53:20 2023,
