Seyonic Pipettor Initializing...,Fri Sep 15 12:24:37 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 12:25:08 2023,
close_valve(channel=0),Fri Sep 15 12:25:09 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 12:25:10 2023,
dispense(pressure=100),Fri Sep 15 12:25:20 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 12:25:20 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 12:25:22 2023,
dispense(pressure=100),Fri Sep 15 12:25:27 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 12:25:27 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 12:25:29 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 12:26:05 2023,
close_valve(channel=0),Fri Sep 15 12:26:06 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 12:26:07 2023,
dispense(pressure=100),Fri Sep 15 12:26:18 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 12:26:18 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 12:26:20 2023,
dispense(pressure=100),Fri Sep 15 12:26:24 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 12:26:24 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 12:26:26 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 12:26:29 2023,
close_valve(channel=0),Fri Sep 15 12:26:31 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 12:26:32 2023,
dispense(pressure=100),Fri Sep 15 12:26:34 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 12:26:34 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 12:26:37 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 12:26:40 2023,
close_valve(channel=0),Fri Sep 15 12:26:42 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 12:26:43 2023,
dispense(pressure=100),Fri Sep 15 12:26:45 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 12:26:45 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 12:26:48 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 12:26:51 2023,
close_valve(channel=0),Fri Sep 15 12:26:53 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 12:26:54 2023,
dispense(pressure=100),Fri Sep 15 12:26:56 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 12:26:56 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 12:26:59 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 12:27:02 2023,
close_valve(channel=0),Fri Sep 15 12:27:04 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 12:27:05 2023,
dispense(pressure=100),Fri Sep 15 12:27:07 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 12:27:07 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 12:27:10 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 15 12:27:13 2023,
close_valve(channel=0),Fri Sep 15 12:27:15 2023,
set_pressure(pressure=0; direction=2),Fri Sep 15 12:27:16 2023,
dispense(pressure=100),Fri Sep 15 12:27:18 2023,
set_pressure(pressure=100; direction=1),Fri Sep 15 12:27:18 2023,
set_pressure(pressure=0; direction=1),Fri Sep 15 12:27:21 2023,
