Seyonic Pipettor Initializing...,Thu Sep 28 12:56:26 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:56:46 2023,
close_valve(channel=0),Thu Sep 28 12:56:47 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:56:48 2023,
dispense(pressure=100),Thu Sep 28 12:56:58 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:56:58 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:57:00 2023,
dispense(pressure=100),Thu Sep 28 12:57:11 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:57:11 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:57:13 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:57:49 2023,
close_valve(channel=0),Thu Sep 28 12:57:50 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:57:51 2023,
dispense(pressure=100),Thu Sep 28 12:58:01 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:58:01 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:58:03 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:58:05 2023,
close_valve(channel=0),Thu Sep 28 12:58:06 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:58:07 2023,
dispense(pressure=100),Thu Sep 28 12:58:08 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:58:08 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:58:10 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:58:12 2023,
close_valve(channel=0),Thu Sep 28 12:58:13 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:58:14 2023,
dispense(pressure=100),Thu Sep 28 12:58:15 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:58:15 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:58:17 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:58:19 2023,
close_valve(channel=0),Thu Sep 28 12:58:20 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:58:21 2023,
dispense(pressure=100),Thu Sep 28 12:58:22 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:58:22 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:58:24 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:58:26 2023,
close_valve(channel=0),Thu Sep 28 12:58:28 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:58:29 2023,
dispense(pressure=100),Thu Sep 28 12:58:30 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:58:30 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:58:32 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:58:34 2023,
close_valve(channel=0),Thu Sep 28 12:58:35 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:58:36 2023,
dispense(pressure=100),Thu Sep 28 12:58:37 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:58:37 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:58:39 2023,
dispense(pressure=100),Thu Sep 28 12:58:42 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:58:42 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:58:44 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 12:59:20 2023,
close_valve(channel=0),Thu Sep 28 12:59:22 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 12:59:23 2023,
dispense(pressure=100),Thu Sep 28 12:59:34 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:59:34 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:59:37 2023,
dispense(pressure=100),Thu Sep 28 12:59:47 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:59:47 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:59:49 2023,
dispense(pressure=100),Thu Sep 28 12:59:53 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 12:59:53 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 12:59:55 2023,
