Seyonic Pipettor Initializing...,Tue Sep 19 14:25:56 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:26:04 2023,
close_valve(channel=0),Tue Sep 19 14:26:05 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:26:06 2023,
dispense(pressure=100),Tue Sep 19 14:26:08 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:26:08 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:26:11 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:26:14 2023,
close_valve(channel=0),Tue Sep 19 14:26:15 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:26:17 2023,
dispense(pressure=100),Tue Sep 19 14:26:19 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:26:19 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:26:21 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:26:24 2023,
close_valve(channel=0),Tue Sep 19 14:26:26 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:26:27 2023,
dispense(pressure=100),Tue Sep 19 14:26:29 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:26:29 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:26:31 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:26:34 2023,
close_valve(channel=0),Tue Sep 19 14:26:36 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:26:37 2023,
dispense(pressure=100),Tue Sep 19 14:26:39 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:26:39 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:26:41 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:26:44 2023,
close_valve(channel=0),Tue Sep 19 14:26:46 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:26:47 2023,
dispense(pressure=100),Tue Sep 19 14:26:49 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:26:49 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:26:51 2023,
dispense(pressure=100),Tue Sep 19 14:26:57 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:26:57 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:26:59 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 19 14:27:35 2023,
close_valve(channel=0),Tue Sep 19 14:27:37 2023,
set_pressure(pressure=0; direction=2),Tue Sep 19 14:27:38 2023,
dispense(pressure=100),Tue Sep 19 14:27:46 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:27:47 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:27:49 2023,
dispense(pressure=100),Tue Sep 19 14:27:53 2023,
set_pressure(pressure=100; direction=1),Tue Sep 19 14:27:53 2023,
set_pressure(pressure=0; direction=1),Tue Sep 19 14:27:55 2023,
