Seyonic Pipettor Initializing...,Fri Jun 30 10:59:54 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 10:59:55 2023,
close_valve(channel=0),Fri Jun 30 10:59:58 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 10:59:59 2023,
dispense(pressure=200),Fri Jun 30 11:00:00 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 11:00:00 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 11:00:03 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 11:00:05 2023,
close_valve(channel=0),Fri Jun 30 11:00:09 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 11:00:10 2023,
dispense(pressure=200),Fri Jun 30 11:00:11 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 11:00:11 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 11:00:14 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 11:00:16 2023,
close_valve(channel=0),Fri Jun 30 11:00:19 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 11:00:20 2023,
dispense(pressure=200),Fri Jun 30 11:00:21 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 11:00:21 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 11:00:24 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 11:00:26 2023,
close_valve(channel=0),Fri Jun 30 11:00:30 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 11:00:31 2023,
dispense(pressure=200),Fri Jun 30 11:00:32 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 11:00:32 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 11:00:35 2023,
