Seyonic Pipettor Initializing...,Wed Aug  9 21:18:15 2023,
set_pressure(pressure=-100; direction=None),Wed Aug  9 21:18:38 2023,
close_valve(channel=0),Wed Aug  9 21:18:39 2023,
set_pressure(pressure=0; direction=2),Wed Aug  9 21:18:40 2023,
dispense(pressure=20),Wed Aug  9 21:18:51 2023,
set_pressure(pressure=20; direction=1),Wed Aug  9 21:18:51 2023,
set_pressure(pressure=0; direction=1),Wed Aug  9 21:18:53 2023,
set_pressure(pressure=-8; direction=None),Wed Aug  9 21:18:55 2023,
close_valve(channel=0),Wed Aug  9 21:18:57 2023,
set_pressure(pressure=0; direction=2),Wed Aug  9 21:18:58 2023,
dispense(pressure=20),Wed Aug  9 21:19:16 2023,
set_pressure(pressure=20; direction=1),Wed Aug  9 21:19:16 2023,
set_pressure(pressure=0; direction=1),Wed Aug  9 21:19:18 2023,
set_pressure(pressure=-8; direction=None),Wed Aug  9 21:19:20 2023,
close_valve(channel=0),Wed Aug  9 21:19:22 2023,
set_pressure(pressure=0; direction=2),Wed Aug  9 21:19:23 2023,
dispense(pressure=20),Wed Aug  9 21:19:36 2023,
set_pressure(pressure=20; direction=1),Wed Aug  9 21:19:36 2023,
set_pressure(pressure=0; direction=1),Wed Aug  9 21:19:38 2023,
dispense(pressure=20),Wed Aug  9 21:19:41 2023,
set_pressure(pressure=20; direction=1),Wed Aug  9 21:19:41 2023,
set_pressure(pressure=0; direction=1),Wed Aug  9 21:19:42 2023,
