Seyonic Pipettor Initializing...,Fri Sep 22 11:21:20 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:21:28 2023,
close_valve(channel=0),Fri Sep 22 11:21:30 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:21:31 2023,
dispense(pressure=100),Fri Sep 22 11:21:33 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:21:33 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:21:36 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:21:39 2023,
close_valve(channel=0),Fri Sep 22 11:21:41 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:21:42 2023,
dispense(pressure=100),Fri Sep 22 11:21:44 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:21:44 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:21:46 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:21:50 2023,
close_valve(channel=0),Fri Sep 22 11:21:52 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:21:53 2023,
dispense(pressure=100),Fri Sep 22 11:21:55 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:21:55 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:21:57 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:22:02 2023,
close_valve(channel=0),Fri Sep 22 11:22:04 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:22:05 2023,
dispense(pressure=100),Fri Sep 22 11:22:07 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:22:07 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:22:09 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:22:12 2023,
close_valve(channel=0),Fri Sep 22 11:22:14 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:22:15 2023,
dispense(pressure=100),Fri Sep 22 11:22:17 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:22:17 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:22:20 2023,
dispense(pressure=100),Fri Sep 22 11:22:26 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:22:26 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:22:28 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:23:02 2023,
close_valve(channel=0),Fri Sep 22 11:23:04 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:23:05 2023,
dispense(pressure=100),Fri Sep 22 11:23:15 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:23:15 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:23:17 2023,
dispense(pressure=100),Fri Sep 22 11:23:27 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:23:27 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:23:29 2023,
dispense(pressure=100),Fri Sep 22 11:23:33 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:23:33 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:23:35 2023,
dispense(pressure=100),Fri Sep 22 11:23:39 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:23:39 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:23:41 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:24:17 2023,
close_valve(channel=0),Fri Sep 22 11:24:18 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:24:19 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:24:29 2023,
close_valve(channel=0),Fri Sep 22 11:24:30 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:24:31 2023,
dispense(pressure=100),Fri Sep 22 11:24:41 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:24:41 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:24:43 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:24:46 2023,
close_valve(channel=0),Fri Sep 22 11:24:48 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:24:49 2023,
dispense(pressure=100),Fri Sep 22 11:24:51 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:24:51 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:24:53 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:24:56 2023,
close_valve(channel=0),Fri Sep 22 11:24:58 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:24:59 2023,
dispense(pressure=100),Fri Sep 22 11:25:01 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:25:01 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:25:03 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:25:06 2023,
close_valve(channel=0),Fri Sep 22 11:25:08 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:25:09 2023,
dispense(pressure=100),Fri Sep 22 11:25:11 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:25:11 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:25:14 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:25:17 2023,
