Seyonic Pipettor Initializing...,Tue Nov 14 09:27:18 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 09:27:38 2023,
close_valve(channel=0),Tue Nov 14 09:27:41 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 09:27:42 2023,
dispense(pressure=100),Tue Nov 14 09:27:44 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:27:44 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:27:48 2023,
dispense(pressure=100),Tue Nov 14 09:27:55 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:27:56 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:27:58 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 09:28:01 2023,
close_valve(channel=0),Tue Nov 14 09:28:05 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 09:28:06 2023,
dispense(pressure=100),Tue Nov 14 09:28:13 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:28:13 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:28:18 2023,
dispense(pressure=100),Tue Nov 14 09:28:22 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:28:22 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:28:25 2023,
dispense(pressure=100),Tue Nov 14 09:28:29 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:28:29 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:28:31 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 09:28:40 2023,
close_valve(channel=0),Tue Nov 14 09:28:43 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 09:28:44 2023,
dispense(pressure=100),Tue Nov 14 09:28:46 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:28:46 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:28:50 2023,
dispense(pressure=100),Tue Nov 14 09:28:54 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:28:54 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:28:56 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 09:28:59 2023,
close_valve(channel=0),Tue Nov 14 09:29:04 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 09:29:05 2023,
dispense(pressure=100),Tue Nov 14 09:29:12 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:29:12 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:29:17 2023,
dispense(pressure=100),Tue Nov 14 09:29:21 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:29:21 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:29:24 2023,
dispense(pressure=100),Tue Nov 14 09:29:28 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:29:28 2023,
set_pressure(pressure=0; direction=1),Tue Nov 14 09:29:30 2023,
set_pressure(pressure=-100; direction=None),Tue Nov 14 09:29:39 2023,
close_valve(channel=0),Tue Nov 14 09:29:42 2023,
set_pressure(pressure=0; direction=2),Tue Nov 14 09:29:43 2023,
dispense(pressure=100),Tue Nov 14 09:29:45 2023,
set_pressure(pressure=100; direction=1),Tue Nov 14 09:29:45 2023,
