Seyonic Pipettor Initializing...,Wed Sep 13 11:35:25 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 11:35:45 2023,
close_valve(channel=0),Wed Sep 13 11:35:48 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 11:35:49 2023,
dispense(pressure=100),Wed Sep 13 11:35:51 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 11:35:51 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 11:35:57 2023,
dispense(pressure=100),Wed Sep 13 11:36:05 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 11:36:05 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 11:36:07 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 11:36:10 2023,
close_valve(channel=0),Wed Sep 13 11:36:14 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 11:36:16 2023,
dispense(pressure=100),Wed Sep 13 11:36:23 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 11:36:23 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 11:36:34 2023,
dispense(pressure=100),Wed Sep 13 11:36:38 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 11:36:39 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 11:36:41 2023,
dispense(pressure=100),Wed Sep 13 11:36:46 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 11:36:46 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 11:36:49 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 11:36:57 2023,
close_valve(channel=0),Wed Sep 13 11:37:00 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 11:37:01 2023,
dispense(pressure=100),Wed Sep 13 11:37:03 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 11:37:03 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 11:37:09 2023,
dispense(pressure=100),Wed Sep 13 11:37:13 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 11:37:13 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 11:37:16 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 11:37:19 2023,
close_valve(channel=0),Wed Sep 13 11:37:23 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 11:37:24 2023,
dispense(pressure=100),Wed Sep 13 11:37:31 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 11:37:31 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 11:37:43 2023,
dispense(pressure=100),Wed Sep 13 11:37:47 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 11:37:47 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 11:37:50 2023,
dispense(pressure=100),Wed Sep 13 11:37:54 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 11:37:54 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 11:37:57 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 11:38:06 2023,
close_valve(channel=0),Wed Sep 13 11:38:09 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 11:38:10 2023,
dispense(pressure=100),Wed Sep 13 11:38:12 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 11:38:12 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 11:38:18 2023,
dispense(pressure=100),Wed Sep 13 11:38:22 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 11:38:22 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 11:38:25 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 11:38:28 2023,
close_valve(channel=0),Wed Sep 13 11:38:33 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 11:38:34 2023,
dispense(pressure=100),Wed Sep 13 11:38:41 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 11:38:41 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 11:38:52 2023,
dispense(pressure=100),Wed Sep 13 11:38:57 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 11:38:57 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 11:39:00 2023,
dispense(pressure=100),Wed Sep 13 11:39:04 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 11:39:04 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 11:39:07 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 11:39:15 2023,
close_valve(channel=0),Wed Sep 13 11:39:19 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 11:39:20 2023,
dispense(pressure=100),Wed Sep 13 11:39:22 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 11:39:22 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 11:39:28 2023,
dispense(pressure=100),Wed Sep 13 11:39:32 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 11:39:32 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 11:39:34 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 11:39:38 2023,
close_valve(channel=0),Wed Sep 13 11:39:42 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 11:39:43 2023,
dispense(pressure=100),Wed Sep 13 11:39:50 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 11:39:50 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 11:40:02 2023,
dispense(pressure=100),Wed Sep 13 11:40:06 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 11:40:06 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 11:40:09 2023,
dispense(pressure=100),Wed Sep 13 11:40:13 2023,
set_pressure(pressure=100; direction=1),Wed Sep 13 11:40:13 2023,
set_pressure(pressure=0; direction=1),Wed Sep 13 11:40:16 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:00:48 2023,
close_valve(channel=0),Wed Sep 13 12:00:52 2023,
set_pressure(pressure=0; direction=2),Wed Sep 13 12:00:53 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 13 12:00:58 2023,
