Seyonic Pipettor Initializing...,Wed Aug  9 21:21:53 2023,
dispense(pressure=20),Wed Aug  9 21:21:54 2023,
set_pressure(pressure=20; direction=1),Wed Aug  9 21:21:54 2023,
set_pressure(pressure=0; direction=1),Wed Aug  9 21:21:56 2023,
dispense(pressure=20),Wed Aug  9 21:22:01 2023,
set_pressure(pressure=20; direction=1),Wed Aug  9 21:22:01 2023,
set_pressure(pressure=0; direction=1),Wed Aug  9 21:22:03 2023,
dispense(pressure=20),Wed Aug  9 21:22:08 2023,
set_pressure(pressure=20; direction=1),Wed Aug  9 21:22:08 2023,
set_pressure(pressure=0; direction=1),Wed Aug  9 21:22:10 2023,
dispense(pressure=20),Wed Aug  9 21:22:15 2023,
set_pressure(pressure=20; direction=1),Wed Aug  9 21:22:15 2023,
set_pressure(pressure=0; direction=1),Wed Aug  9 21:22:17 2023,
dispense(pressure=20),Wed Aug  9 21:22:22 2023,
set_pressure(pressure=20; direction=1),Wed Aug  9 21:22:22 2023,
set_pressure(pressure=0; direction=1),Wed Aug  9 21:22:24 2023,
dispense(pressure=20),Wed Aug  9 21:22:29 2023,
set_pressure(pressure=20; direction=1),Wed Aug  9 21:22:29 2023,
set_pressure(pressure=0; direction=1),Wed Aug  9 21:22:31 2023,
