Seyonic Pipettor Initializing...,Fri Jun 30 14:05:35 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 14:05:36 2023,
close_valve(channel=0),Fri Jun 30 14:05:40 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 14:05:41 2023,
dispense(pressure=200),Fri Jun 30 14:05:42 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 14:05:42 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 14:05:45 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 14:05:47 2023,
close_valve(channel=0),Fri Jun 30 14:05:50 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 14:05:51 2023,
dispense(pressure=200),Fri Jun 30 14:05:52 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 14:05:52 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 14:05:55 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 14:05:57 2023,
close_valve(channel=0),Fri Jun 30 14:06:01 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 14:06:02 2023,
dispense(pressure=200),Fri Jun 30 14:06:03 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 14:06:03 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 14:06:06 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 14:06:08 2023,
close_valve(channel=0),Fri Jun 30 14:06:11 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 14:06:12 2023,
dispense(pressure=200),Fri Jun 30 14:06:13 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 14:06:13 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 14:06:16 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 14:06:18 2023,
close_valve(channel=0),Fri Jun 30 14:06:22 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 14:06:23 2023,
dispense(pressure=200),Fri Jun 30 14:06:24 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 14:06:24 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 14:06:27 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 14:06:29 2023,
close_valve(channel=0),Fri Jun 30 14:06:32 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 14:06:33 2023,
dispense(pressure=200),Fri Jun 30 14:06:34 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 14:06:34 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 14:06:37 2023,
dispense(pressure=200),Fri Jun 30 14:06:43 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 14:06:43 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 14:06:46 2023,
dispense(pressure=200),Fri Jun 30 14:06:50 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 14:06:50 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 14:06:52 2023,
