Seyonic Pipettor Initializing...,Thu Jul  6 11:50:52 2023,
dispense(pressure=100),Thu Jul  6 12:01:55 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 12:01:55 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 12:01:58 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 12:02:10 2023,
close_valve(channel=0),Thu Jul  6 12:02:13 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 12:02:14 2023,
dispense(pressure=100),Thu Jul  6 12:02:15 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 12:02:15 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 12:02:18 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 12:02:30 2023,
close_valve(channel=0),Thu Jul  6 12:02:33 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 12:02:34 2023,
dispense(pressure=100),Thu Jul  6 12:02:44 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 12:02:44 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 12:02:47 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 12:03:21 2023,
close_valve(channel=0),Thu Jul  6 12:03:22 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 12:03:23 2023,
dispense(pressure=100),Thu Jul  6 12:03:34 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 12:03:34 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 12:03:36 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 12:03:47 2023,
close_valve(channel=0),Thu Jul  6 12:03:49 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 12:03:50 2023,
dispense(pressure=100),Thu Jul  6 12:04:00 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 12:04:00 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 12:04:02 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 12:09:45 2023,
close_valve(channel=0),Thu Jul  6 12:09:46 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 12:09:47 2023,
dispense(pressure=100),Thu Jul  6 12:09:57 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 12:09:57 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 12:09:59 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 12:10:02 2023,
close_valve(channel=0),Thu Jul  6 12:10:03 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 12:10:04 2023,
dispense(pressure=100),Thu Jul  6 12:10:05 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 12:10:05 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 12:10:07 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 12:10:09 2023,
close_valve(channel=0),Thu Jul  6 12:10:10 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 12:10:11 2023,
dispense(pressure=100),Thu Jul  6 12:10:12 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 12:10:12 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 12:10:14 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 12:10:16 2023,
close_valve(channel=0),Thu Jul  6 12:10:18 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 12:10:19 2023,
dispense(pressure=100),Thu Jul  6 12:10:20 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 12:10:20 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 12:10:22 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 12:10:24 2023,
close_valve(channel=0),Thu Jul  6 12:10:25 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 12:10:26 2023,
dispense(pressure=100),Thu Jul  6 12:10:27 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 12:10:27 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 12:10:29 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 12:10:31 2023,
close_valve(channel=0),Thu Jul  6 12:10:33 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 12:10:34 2023,
dispense(pressure=100),Thu Jul  6 12:10:35 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 12:10:35 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 12:10:37 2023,
set_pressure(pressure=-100; direction=None),Thu Jul  6 12:11:09 2023,
close_valve(channel=0),Thu Jul  6 12:11:10 2023,
set_pressure(pressure=0; direction=2),Thu Jul  6 12:11:12 2023,
dispense(pressure=100),Thu Jul  6 12:11:13 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 12:11:13 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 12:11:15 2023,
dispense(pressure=100),Thu Jul  6 12:11:21 2023,
set_pressure(pressure=100; direction=1),Thu Jul  6 12:11:21 2023,
set_pressure(pressure=0; direction=1),Thu Jul  6 12:11:23 2023,
