Seyonic Pipettor Initializing...,Fri Sep 22 11:45:29 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:45:48 2023,
close_valve(channel=0),Fri Sep 22 11:45:50 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:45:51 2023,
dispense(pressure=100),Fri Sep 22 11:45:53 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:45:53 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:45:56 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:45:59 2023,
close_valve(channel=0),Fri Sep 22 11:46:01 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:46:02 2023,
dispense(pressure=100),Fri Sep 22 11:46:04 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:46:04 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:46:07 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:46:10 2023,
close_valve(channel=0),Fri Sep 22 11:46:12 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:46:13 2023,
dispense(pressure=100),Fri Sep 22 11:46:15 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:46:15 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:46:18 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:46:21 2023,
close_valve(channel=0),Fri Sep 22 11:46:23 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:46:25 2023,
dispense(pressure=100),Fri Sep 22 11:46:26 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:46:26 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:46:29 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:46:32 2023,
close_valve(channel=0),Fri Sep 22 11:46:35 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:46:36 2023,
dispense(pressure=100),Fri Sep 22 11:46:38 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:46:38 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:46:41 2023,
dispense(pressure=100),Fri Sep 22 11:46:47 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:46:47 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:46:49 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:47:23 2023,
close_valve(channel=0),Fri Sep 22 11:47:25 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:47:26 2023,
dispense(pressure=100),Fri Sep 22 11:47:39 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:47:39 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:47:41 2023,
dispense(pressure=100),Fri Sep 22 11:47:51 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:47:51 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:47:53 2023,
dispense(pressure=100),Fri Sep 22 11:47:57 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:47:57 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:47:59 2023,
dispense(pressure=100),Fri Sep 22 11:48:03 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:48:03 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:48:05 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:48:42 2023,
close_valve(channel=0),Fri Sep 22 11:48:43 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:48:44 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:48:54 2023,
close_valve(channel=0),Fri Sep 22 11:48:56 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:48:57 2023,
dispense(pressure=100),Fri Sep 22 11:49:06 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:49:06 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:49:08 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:49:11 2023,
close_valve(channel=0),Fri Sep 22 11:49:13 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:49:14 2023,
dispense(pressure=100),Fri Sep 22 11:49:16 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:49:16 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:49:19 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:49:22 2023,
close_valve(channel=0),Fri Sep 22 11:49:24 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:49:25 2023,
dispense(pressure=100),Fri Sep 22 11:49:27 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:49:27 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:49:29 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:49:33 2023,
close_valve(channel=0),Fri Sep 22 11:49:34 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:49:35 2023,
dispense(pressure=100),Fri Sep 22 11:49:37 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:49:37 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:49:40 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:49:43 2023,
close_valve(channel=0),Fri Sep 22 11:49:45 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:49:46 2023,
dispense(pressure=100),Fri Sep 22 11:49:48 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:49:48 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:49:51 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:49:54 2023,
close_valve(channel=0),Fri Sep 22 11:49:56 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:49:57 2023,
dispense(pressure=100),Fri Sep 22 11:49:59 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:49:59 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:50:02 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:50:05 2023,
close_valve(channel=0),Fri Sep 22 11:50:06 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:50:07 2023,
dispense(pressure=100),Fri Sep 22 11:50:09 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:50:09 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:50:12 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:50:15 2023,
close_valve(channel=0),Fri Sep 22 11:50:17 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:50:18 2023,
dispense(pressure=100),Fri Sep 22 11:50:20 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:50:20 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:50:23 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:50:26 2023,
close_valve(channel=0),Fri Sep 22 11:50:28 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:50:29 2023,
dispense(pressure=100),Fri Sep 22 11:50:31 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:50:31 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:50:33 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:50:36 2023,
close_valve(channel=0),Fri Sep 22 11:50:38 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:50:39 2023,
dispense(pressure=100),Fri Sep 22 11:50:41 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:50:41 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:50:44 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:50:47 2023,
close_valve(channel=0),Fri Sep 22 11:50:49 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:50:50 2023,
dispense(pressure=100),Fri Sep 22 11:50:52 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:50:52 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:50:55 2023,
dispense(pressure=100),Fri Sep 22 11:51:01 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:51:01 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:51:03 2023,
dispense(pressure=100),Fri Sep 22 11:51:07 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:51:07 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:51:09 2023,
dispense(pressure=100),Fri Sep 22 11:51:14 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:51:14 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:51:16 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:55:32 2023,
close_valve(channel=0),Fri Sep 22 11:55:34 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:55:35 2023,
dispense(pressure=100),Fri Sep 22 11:55:44 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:55:44 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:55:47 2023,
dispense(pressure=100),Fri Sep 22 11:55:51 2023,
set_pressure(pressure=100; direction=1),Fri Sep 22 11:55:51 2023,
set_pressure(pressure=0; direction=1),Fri Sep 22 11:55:53 2023,
set_pressure(pressure=-100; direction=None),Fri Sep 22 11:55:56 2023,
close_valve(channel=0),Fri Sep 22 11:55:58 2023,
set_pressure(pressure=0; direction=2),Fri Sep 22 11:55:59 2023,
