Seyonic Pipettor Initializing...,Fri Jul  7 10:33:20 2023,
set_pressure(pressure=-100; direction=None),Fri Jul  7 10:33:40 2023,
close_valve(channel=0),Fri Jul  7 10:33:44 2023,
set_pressure(pressure=0; direction=2),Fri Jul  7 10:33:45 2023,
set_pressure(pressure=-100; direction=None),Fri Jul  7 10:33:58 2023,
close_valve(channel=0),Fri Jul  7 10:33:59 2023,
set_pressure(pressure=0; direction=2),Fri Jul  7 10:34:00 2023,
dispense(pressure=100),Fri Jul  7 10:34:46 2023,
set_pressure(pressure=100; direction=1),Fri Jul  7 10:34:46 2023,
set_pressure(pressure=0; direction=1),Fri Jul  7 10:34:52 2023,
dispense(pressure=100),Fri Jul  7 10:34:55 2023,
set_pressure(pressure=100; direction=1),Fri Jul  7 10:34:55 2023,
set_pressure(pressure=0; direction=1),Fri Jul  7 10:34:57 2023,
dispense(pressure=100),Fri Jul  7 10:35:00 2023,
set_pressure(pressure=100; direction=1),Fri Jul  7 10:35:00 2023,
set_pressure(pressure=0; direction=1),Fri Jul  7 10:35:02 2023,
set_pressure(pressure=-100; direction=None),Fri Jul  7 10:35:12 2023,
close_valve(channel=0),Fri Jul  7 10:35:16 2023,
set_pressure(pressure=0; direction=2),Fri Jul  7 10:35:17 2023,
dispense(pressure=200),Fri Jul  7 10:35:20 2023,
set_pressure(pressure=200; direction=1),Fri Jul  7 10:35:20 2023,
set_pressure(pressure=0; direction=1),Fri Jul  7 10:35:24 2023,
set_pressure(pressure=-100; direction=None),Fri Jul  7 10:35:26 2023,
close_valve(channel=0),Fri Jul  7 10:35:30 2023,
set_pressure(pressure=0; direction=2),Fri Jul  7 10:35:31 2023,
dispense(pressure=200),Fri Jul  7 10:35:33 2023,
set_pressure(pressure=200; direction=1),Fri Jul  7 10:35:33 2023,
set_pressure(pressure=0; direction=1),Fri Jul  7 10:35:36 2023,
set_pressure(pressure=-100; direction=None),Fri Jul  7 10:35:38 2023,
close_valve(channel=0),Fri Jul  7 10:35:42 2023,
set_pressure(pressure=0; direction=2),Fri Jul  7 10:35:43 2023,
dispense(pressure=200),Fri Jul  7 10:35:45 2023,
set_pressure(pressure=200; direction=1),Fri Jul  7 10:35:45 2023,
set_pressure(pressure=0; direction=1),Fri Jul  7 10:35:48 2023,
dispense(pressure=200),Fri Jul  7 10:35:53 2023,
set_pressure(pressure=200; direction=1),Fri Jul  7 10:35:53 2023,
set_pressure(pressure=0; direction=1),Fri Jul  7 10:35:55 2023,
dispense(pressure=200),Fri Jul  7 10:35:58 2023,
set_pressure(pressure=200; direction=1),Fri Jul  7 10:35:58 2023,
set_pressure(pressure=0; direction=1),Fri Jul  7 10:36:00 2023,
set_pressure(pressure=-100; direction=None),Fri Jul  7 10:36:07 2023,
close_valve(channel=0),Fri Jul  7 10:36:11 2023,
set_pressure(pressure=0; direction=2),Fri Jul  7 10:36:12 2023,
set_pressure(pressure=-100; direction=None),Fri Jul  7 10:36:23 2023,
close_valve(channel=0),Fri Jul  7 10:36:24 2023,
set_pressure(pressure=0; direction=2),Fri Jul  7 10:36:25 2023,
dispense(pressure=100),Fri Jul  7 10:36:57 2023,
set_pressure(pressure=100; direction=1),Fri Jul  7 10:36:57 2023,
set_pressure(pressure=0; direction=1),Fri Jul  7 10:37:01 2023,
dispense(pressure=100),Fri Jul  7 10:37:41 2023,
set_pressure(pressure=100; direction=1),Fri Jul  7 10:37:41 2023,
set_pressure(pressure=0; direction=1),Fri Jul  7 10:37:44 2023,
set_pressure(pressure=-100; direction=None),Fri Jul  7 10:37:55 2023,
close_valve(channel=0),Fri Jul  7 10:37:58 2023,
set_pressure(pressure=0; direction=2),Fri Jul  7 10:37:59 2023,
dispense(pressure=100),Fri Jul  7 10:38:07 2023,
set_pressure(pressure=100; direction=1),Fri Jul  7 10:38:07 2023,
set_pressure(pressure=0; direction=1),Fri Jul  7 10:38:10 2023,
set_pressure(pressure=-100; direction=None),Fri Jul  7 10:38:12 2023,
close_valve(channel=0),Fri Jul  7 10:38:15 2023,
set_pressure(pressure=0; direction=2),Fri Jul  7 10:38:16 2023,
dispense(pressure=100),Fri Jul  7 10:38:18 2023,
set_pressure(pressure=100; direction=1),Fri Jul  7 10:38:18 2023,
set_pressure(pressure=0; direction=1),Fri Jul  7 10:38:22 2023,
set_pressure(pressure=-100; direction=None),Fri Jul  7 10:38:24 2023,
close_valve(channel=0),Fri Jul  7 10:38:27 2023,
set_pressure(pressure=0; direction=2),Fri Jul  7 10:38:28 2023,
dispense(pressure=100),Fri Jul  7 10:38:30 2023,
set_pressure(pressure=100; direction=1),Fri Jul  7 10:38:30 2023,
set_pressure(pressure=0; direction=1),Fri Jul  7 10:38:34 2023,
set_pressure(pressure=-100; direction=None),Fri Jul  7 10:38:37 2023,
close_valve(channel=0),Fri Jul  7 10:38:41 2023,
set_pressure(pressure=0; direction=2),Fri Jul  7 10:38:42 2023,
dispense(pressure=100),Fri Jul  7 10:39:04 2023,
set_pressure(pressure=100; direction=1),Fri Jul  7 10:39:04 2023,
set_pressure(pressure=0; direction=1),Fri Jul  7 10:39:08 2023,
dispense(pressure=100),Fri Jul  7 10:39:12 2023,
set_pressure(pressure=100; direction=1),Fri Jul  7 10:39:12 2023,
set_pressure(pressure=0; direction=1),Fri Jul  7 10:39:14 2023,
set_pressure(pressure=-100; direction=None),Fri Jul  7 10:39:25 2023,
close_valve(channel=0),Fri Jul  7 10:39:28 2023,
set_pressure(pressure=0; direction=2),Fri Jul  7 10:39:29 2023,
dispense(pressure=100),Fri Jul  7 10:39:38 2023,
