Seyonic Pipettor Initializing...,Tue Jul 25 11:39:18 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 25 11:39:37 2023,
close_valve(channel=0),Tue Jul 25 11:39:41 2023,
set_pressure(pressure=0; direction=2),Tue Jul 25 11:39:42 2023,
dispense(pressure=100),Tue Jul 25 11:39:44 2023,
set_pressure(pressure=100; direction=1),Tue Jul 25 11:39:44 2023,
set_pressure(pressure=0; direction=1),Tue Jul 25 11:39:48 2023,
dispense(pressure=100),Tue Jul 25 11:39:55 2023,
set_pressure(pressure=100; direction=1),Tue Jul 25 11:39:55 2023,
set_pressure(pressure=0; direction=1),Tue Jul 25 11:39:57 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 25 11:40:00 2023,
close_valve(channel=0),Tue Jul 25 11:40:05 2023,
set_pressure(pressure=0; direction=2),Tue Jul 25 11:40:06 2023,
dispense(pressure=241),Tue Jul 25 11:40:13 2023,
set_pressure(pressure=241; direction=1),Tue Jul 25 11:40:13 2023,
set_pressure(pressure=0; direction=1),Tue Jul 25 11:40:16 2023,
dispense(pressure=100),Tue Jul 25 11:40:24 2023,
set_pressure(pressure=100; direction=1),Tue Jul 25 11:40:24 2023,
set_pressure(pressure=0; direction=1),Tue Jul 25 11:40:26 2023,
dispense(pressure=100),Tue Jul 25 11:40:33 2023,
set_pressure(pressure=100; direction=1),Tue Jul 25 11:40:33 2023,
set_pressure(pressure=0; direction=1),Tue Jul 25 11:40:36 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 25 11:40:44 2023,
close_valve(channel=0),Tue Jul 25 11:40:48 2023,
set_pressure(pressure=0; direction=2),Tue Jul 25 11:40:49 2023,
dispense(pressure=100),Tue Jul 25 11:40:51 2023,
set_pressure(pressure=100; direction=1),Tue Jul 25 11:40:51 2023,
set_pressure(pressure=0; direction=1),Tue Jul 25 11:40:55 2023,
dispense(pressure=100),Tue Jul 25 11:41:02 2023,
set_pressure(pressure=100; direction=1),Tue Jul 25 11:41:02 2023,
set_pressure(pressure=0; direction=1),Tue Jul 25 11:41:04 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 25 11:41:07 2023,
close_valve(channel=0),Tue Jul 25 11:41:12 2023,
set_pressure(pressure=0; direction=2),Tue Jul 25 11:41:13 2023,
dispense(pressure=241),Tue Jul 25 11:41:20 2023,
set_pressure(pressure=241; direction=1),Tue Jul 25 11:41:20 2023,
set_pressure(pressure=0; direction=1),Tue Jul 25 11:41:23 2023,
dispense(pressure=100),Tue Jul 25 11:41:30 2023,
set_pressure(pressure=100; direction=1),Tue Jul 25 11:41:30 2023,
set_pressure(pressure=0; direction=1),Tue Jul 25 11:41:33 2023,
dispense(pressure=100),Tue Jul 25 11:41:40 2023,
set_pressure(pressure=100; direction=1),Tue Jul 25 11:41:40 2023,
set_pressure(pressure=0; direction=1),Tue Jul 25 11:41:42 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 25 11:41:51 2023,
close_valve(channel=0),Tue Jul 25 11:41:54 2023,
set_pressure(pressure=0; direction=2),Tue Jul 25 11:41:55 2023,
dispense(pressure=100),Tue Jul 25 11:41:58 2023,
set_pressure(pressure=100; direction=1),Tue Jul 25 11:41:58 2023,
set_pressure(pressure=0; direction=1),Tue Jul 25 11:42:02 2023,
dispense(pressure=100),Tue Jul 25 11:42:09 2023,
set_pressure(pressure=100; direction=1),Tue Jul 25 11:42:09 2023,
set_pressure(pressure=0; direction=1),Tue Jul 25 11:42:11 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 25 11:42:14 2023,
close_valve(channel=0),Tue Jul 25 11:42:18 2023,
set_pressure(pressure=0; direction=2),Tue Jul 25 11:42:19 2023,
dispense(pressure=241),Tue Jul 25 11:42:27 2023,
set_pressure(pressure=241; direction=1),Tue Jul 25 11:42:27 2023,
set_pressure(pressure=0; direction=1),Tue Jul 25 11:42:30 2023,
dispense(pressure=100),Tue Jul 25 11:42:37 2023,
set_pressure(pressure=100; direction=1),Tue Jul 25 11:42:37 2023,
set_pressure(pressure=0; direction=1),Tue Jul 25 11:42:40 2023,
dispense(pressure=100),Tue Jul 25 11:42:47 2023,
set_pressure(pressure=100; direction=1),Tue Jul 25 11:42:47 2023,
set_pressure(pressure=0; direction=1),Tue Jul 25 11:42:49 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 25 11:42:58 2023,
close_valve(channel=0),Tue Jul 25 11:43:02 2023,
set_pressure(pressure=0; direction=2),Tue Jul 25 11:43:03 2023,
dispense(pressure=100),Tue Jul 25 11:43:05 2023,
set_pressure(pressure=100; direction=1),Tue Jul 25 11:43:05 2023,
set_pressure(pressure=0; direction=1),Tue Jul 25 11:43:09 2023,
dispense(pressure=100),Tue Jul 25 11:43:16 2023,
set_pressure(pressure=100; direction=1),Tue Jul 25 11:43:16 2023,
set_pressure(pressure=0; direction=1),Tue Jul 25 11:43:18 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 25 11:43:21 2023,
close_valve(channel=0),Tue Jul 25 11:43:26 2023,
set_pressure(pressure=0; direction=2),Tue Jul 25 11:43:27 2023,
dispense(pressure=241),Tue Jul 25 11:43:34 2023,
set_pressure(pressure=241; direction=1),Tue Jul 25 11:43:34 2023,
set_pressure(pressure=0; direction=1),Tue Jul 25 11:43:37 2023,
dispense(pressure=100),Tue Jul 25 11:43:44 2023,
set_pressure(pressure=100; direction=1),Tue Jul 25 11:43:44 2023,
