Seyonic Pipettor Initializing...,Tue Aug  1 12:57:03 2023,
dispense(pressure=20),Tue Aug  1 12:57:13 2023,
set_pressure(pressure=20; direction=1),Tue Aug  1 12:57:13 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:57:19 2023,
dispense(pressure=20),Tue Aug  1 12:57:23 2023,
set_pressure(pressure=20; direction=1),Tue Aug  1 12:57:23 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:57:25 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 12:57:28 2023,
close_valve(channel=0),Tue Aug  1 12:57:30 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 12:57:31 2023,
dispense(pressure=100),Tue Aug  1 12:57:33 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 12:57:33 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:57:36 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 12:57:39 2023,
close_valve(channel=0),Tue Aug  1 12:57:41 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 12:57:42 2023,
dispense(pressure=100),Tue Aug  1 12:57:44 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 12:57:44 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:57:47 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 12:57:50 2023,
close_valve(channel=0),Tue Aug  1 12:57:52 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 12:57:53 2023,
dispense(pressure=100),Tue Aug  1 12:57:55 2023,
set_pressure(pressure=100; direction=1),Tue Aug  1 12:57:55 2023,
set_pressure(pressure=0; direction=1),Tue Aug  1 12:57:58 2023,
set_pressure(pressure=-100; direction=None),Tue Aug  1 12:58:01 2023,
close_valve(channel=0),Tue Aug  1 12:58:03 2023,
set_pressure(pressure=0; direction=2),Tue Aug  1 12:58:04 2023,
