Seyonic Pipettor Initializing...,Thu Aug 24 14:42:26 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 14:42:32 2023,
close_valve(channel=0),Thu Aug 24 14:42:34 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 14:42:35 2023,
dispense(pressure=100),Thu Aug 24 14:42:37 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:42:37 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:42:39 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 14:42:42 2023,
close_valve(channel=0),Thu Aug 24 14:42:44 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 14:42:45 2023,
dispense(pressure=100),Thu Aug 24 14:42:47 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:42:47 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:42:49 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 14:42:52 2023,
close_valve(channel=0),Thu Aug 24 14:42:54 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 14:42:55 2023,
dispense(pressure=100),Thu Aug 24 14:42:57 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:42:57 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:42:59 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 14:43:02 2023,
close_valve(channel=0),Thu Aug 24 14:43:03 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 14:43:05 2023,
dispense(pressure=100),Thu Aug 24 14:43:06 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:43:06 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:43:09 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 14:43:12 2023,
close_valve(channel=0),Thu Aug 24 14:43:13 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 14:43:14 2023,
dispense(pressure=100),Thu Aug 24 14:43:16 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:43:16 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:43:19 2023,
dispense(pressure=100),Thu Aug 24 14:43:25 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:43:25 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:43:27 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 14:44:02 2023,
close_valve(channel=0),Thu Aug 24 14:44:03 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 14:44:04 2023,
dispense(pressure=100),Thu Aug 24 14:44:13 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:44:13 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:44:15 2023,
dispense(pressure=100),Thu Aug 24 14:44:19 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:44:19 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:44:21 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 14:44:56 2023,
close_valve(channel=0),Thu Aug 24 14:44:58 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 14:44:59 2023,
dispense(pressure=100),Thu Aug 24 14:45:09 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:45:09 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:45:11 2023,
dispense(pressure=100),Thu Aug 24 14:45:15 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:45:15 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:45:17 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 14:45:52 2023,
close_valve(channel=0),Thu Aug 24 14:45:53 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 14:45:54 2023,
dispense(pressure=100),Thu Aug 24 14:46:04 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:46:05 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:46:07 2023,
dispense(pressure=100),Thu Aug 24 14:46:11 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:46:11 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:46:13 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 14:46:16 2023,
close_valve(channel=0),Thu Aug 24 14:46:17 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 14:46:19 2023,
dispense(pressure=100),Thu Aug 24 14:46:21 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:46:21 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:46:23 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 14:46:26 2023,
close_valve(channel=0),Thu Aug 24 14:46:28 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 14:46:29 2023,
dispense(pressure=100),Thu Aug 24 14:46:31 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:46:31 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:46:33 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 14:46:37 2023,
close_valve(channel=0),Thu Aug 24 14:46:38 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 14:46:39 2023,
dispense(pressure=100),Thu Aug 24 14:46:41 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:46:41 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:46:44 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 14:46:47 2023,
close_valve(channel=0),Thu Aug 24 14:46:48 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 14:46:49 2023,
dispense(pressure=100),Thu Aug 24 14:46:52 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:46:52 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:46:54 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 14:46:57 2023,
close_valve(channel=0),Thu Aug 24 14:46:59 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 14:47:00 2023,
dispense(pressure=100),Thu Aug 24 14:47:02 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:47:02 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:47:04 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 14:47:07 2023,
close_valve(channel=0),Thu Aug 24 14:47:09 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 14:47:10 2023,
dispense(pressure=100),Thu Aug 24 14:47:12 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:47:12 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:47:15 2023,
dispense(pressure=100),Thu Aug 24 14:47:21 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:47:21 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:47:23 2023,
dispense(pressure=100),Thu Aug 24 14:47:27 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:47:27 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:47:29 2023,
dispense(pressure=100),Thu Aug 24 14:47:33 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:47:33 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:47:35 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 14:48:10 2023,
close_valve(channel=0),Thu Aug 24 14:48:12 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 14:48:13 2023,
dispense(pressure=100),Thu Aug 24 14:48:15 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:48:15 2023,
set_pressure(pressure=0; direction=1),Thu Aug 24 14:48:17 2023,
set_pressure(pressure=-100; direction=None),Thu Aug 24 14:48:20 2023,
close_valve(channel=0),Thu Aug 24 14:48:22 2023,
set_pressure(pressure=0; direction=2),Thu Aug 24 14:48:23 2023,
dispense(pressure=100),Thu Aug 24 14:48:25 2023,
set_pressure(pressure=100; direction=1),Thu Aug 24 14:48:25 2023,
