Seyonic Pipettor Initializing...,Tue Jun  6 14:18:43 2023,
set_pressure(pressure=-13; direction=None),Tue Jun  6 14:19:15 2023,
close_valve(channel=0),Tue Jun  6 14:19:19 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 14:19:20 2023,
dispense(pressure=10),Tue Jun  6 14:19:58 2023,
set_pressure(pressure=10; direction=1),Tue Jun  6 14:19:58 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 14:20:02 2023,
open_valve(),Tue Jun  6 14:20:03 2023,
close_valve(channel=0),Tue Jun  6 14:20:09 2023,
dispense(pressure=10),Tue Jun  6 14:20:09 2023,
set_pressure(pressure=10; direction=1),Tue Jun  6 14:20:09 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 14:20:11 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 14:20:29 2023,
close_valve(channel=0),Tue Jun  6 14:20:31 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 14:20:32 2023,
open_valve(),Tue Jun  6 14:20:57 2023,
close_valve(channel=0),Tue Jun  6 14:21:27 2023,
