Seyonic Pipettor Initializing...,Tue Sep 12 11:56:48 2023,
dispense(pressure=100),Tue Sep 12 11:56:49 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 11:56:49 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 11:57:01 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 12 11:57:04 2023,
close_valve(channel=0),Tue Sep 12 11:57:08 2023,
set_pressure(pressure=0; direction=2),Tue Sep 12 11:57:09 2023,
dispense(pressure=100),Tue Sep 12 11:57:16 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 11:57:16 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 11:57:28 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 12 11:59:52 2023,
close_valve(channel=0),Tue Sep 12 11:59:56 2023,
set_pressure(pressure=0; direction=2),Tue Sep 12 11:59:57 2023,
dispense(pressure=100),Tue Sep 12 12:00:06 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 12:00:06 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 12:00:18 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 12 12:00:50 2023,
close_valve(channel=0),Tue Sep 12 12:00:52 2023,
set_pressure(pressure=0; direction=2),Tue Sep 12 12:00:53 2023,
dispense(pressure=100),Tue Sep 12 12:01:02 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 12:01:02 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 12:01:06 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 12 12:01:18 2023,
close_valve(channel=0),Tue Sep 12 12:01:20 2023,
set_pressure(pressure=0; direction=2),Tue Sep 12 12:01:21 2023,
dispense(pressure=100),Tue Sep 12 12:01:22 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 12:01:22 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 12:01:25 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 12 12:01:27 2023,
close_valve(channel=0),Tue Sep 12 12:01:29 2023,
set_pressure(pressure=0; direction=2),Tue Sep 12 12:01:30 2023,
dispense(pressure=100),Tue Sep 12 12:01:31 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 12:01:31 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 12:01:35 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 12 12:01:37 2023,
close_valve(channel=0),Tue Sep 12 12:01:39 2023,
set_pressure(pressure=0; direction=2),Tue Sep 12 12:01:40 2023,
dispense(pressure=100),Tue Sep 12 12:01:41 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 12:01:41 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 12:01:45 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 12 12:02:07 2023,
close_valve(channel=0),Tue Sep 12 12:02:09 2023,
set_pressure(pressure=0; direction=2),Tue Sep 12 12:02:10 2023,
dispense(pressure=100),Tue Sep 12 12:02:11 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 12:02:11 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 12:02:14 2023,
dispense(pressure=100),Tue Sep 12 12:02:37 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 12:02:37 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 12:02:39 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 12 12:04:46 2023,
close_valve(channel=0),Tue Sep 12 12:04:48 2023,
set_pressure(pressure=0; direction=2),Tue Sep 12 12:04:49 2023,
dispense(pressure=100),Tue Sep 12 12:04:58 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 12:04:58 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 12:05:03 2023,
dispense(pressure=100),Tue Sep 12 12:05:10 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 12:05:10 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 12:05:12 2023,
dispense(pressure=100),Tue Sep 12 12:05:19 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 12:05:19 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 12:05:21 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 12 12:05:31 2023,
close_valve(channel=0),Tue Sep 12 12:05:34 2023,
set_pressure(pressure=0; direction=2),Tue Sep 12 12:05:35 2023,
dispense(pressure=100),Tue Sep 12 12:05:44 2023,
set_pressure(pressure=100; direction=1),Tue Sep 12 12:05:44 2023,
set_pressure(pressure=0; direction=1),Tue Sep 12 12:05:50 2023,
set_pressure(pressure=-100; direction=None),Tue Sep 12 12:05:52 2023,
close_valve(channel=0),Tue Sep 12 12:05:55 2023,
set_pressure(pressure=0; direction=2),Tue Sep 12 12:05:56 2023,
