Seyonic Pipettor Initializing...,Tue Oct  3 11:56:26 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:56:46 2023,
close_valve(channel=0),Tue Oct  3 11:56:47 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:56:48 2023,
dispense(pressure=100),Tue Oct  3 11:56:58 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:56:58 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:57:00 2023,
dispense(pressure=100),Tue Oct  3 11:57:10 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:57:10 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:57:12 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:57:47 2023,
close_valve(channel=0),Tue Oct  3 11:57:48 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:57:50 2023,
dispense(pressure=100),Tue Oct  3 11:57:59 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:57:59 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:58:01 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:58:03 2023,
close_valve(channel=0),Tue Oct  3 11:58:04 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:58:05 2023,
dispense(pressure=100),Tue Oct  3 11:58:06 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:58:06 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:58:08 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:58:10 2023,
close_valve(channel=0),Tue Oct  3 11:58:11 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:58:12 2023,
dispense(pressure=100),Tue Oct  3 11:58:13 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:58:13 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:58:15 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:58:17 2023,
close_valve(channel=0),Tue Oct  3 11:58:19 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:58:20 2023,
dispense(pressure=100),Tue Oct  3 11:58:21 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:58:21 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:58:22 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:58:25 2023,
close_valve(channel=0),Tue Oct  3 11:58:26 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:58:27 2023,
dispense(pressure=100),Tue Oct  3 11:58:28 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:58:28 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:58:30 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:58:32 2023,
close_valve(channel=0),Tue Oct  3 11:58:33 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:58:34 2023,
dispense(pressure=100),Tue Oct  3 11:58:35 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:58:35 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:58:37 2023,
dispense(pressure=100),Tue Oct  3 11:58:40 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:58:40 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:58:42 2023,
set_pressure(pressure=-100; direction=None),Tue Oct  3 11:59:18 2023,
close_valve(channel=0),Tue Oct  3 11:59:19 2023,
set_pressure(pressure=0; direction=2),Tue Oct  3 11:59:20 2023,
dispense(pressure=100),Tue Oct  3 11:59:32 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:59:32 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:59:34 2023,
dispense(pressure=100),Tue Oct  3 11:59:45 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:59:45 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:59:47 2023,
dispense(pressure=100),Tue Oct  3 11:59:51 2023,
set_pressure(pressure=100; direction=1),Tue Oct  3 11:59:51 2023,
set_pressure(pressure=0; direction=1),Tue Oct  3 11:59:53 2023,
