Seyonic Pipettor Initializing...,Fri Jun 30 13:47:18 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 13:47:19 2023,
close_valve(channel=0),Fri Jun 30 13:47:22 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:47:23 2023,
dispense(pressure=200),Fri Jun 30 13:47:24 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:47:24 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:47:28 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 13:47:30 2023,
close_valve(channel=0),Fri Jun 30 13:47:33 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:47:34 2023,
dispense(pressure=200),Fri Jun 30 13:47:35 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:47:35 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:47:38 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 13:47:40 2023,
close_valve(channel=0),Fri Jun 30 13:47:43 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:47:44 2023,
dispense(pressure=200),Fri Jun 30 13:47:45 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:47:45 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:47:49 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 13:47:51 2023,
close_valve(channel=0),Fri Jun 30 13:47:54 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:47:55 2023,
dispense(pressure=200),Fri Jun 30 13:47:56 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:47:56 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:47:59 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 13:48:01 2023,
close_valve(channel=0),Fri Jun 30 13:48:04 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:48:05 2023,
dispense(pressure=200),Fri Jun 30 13:48:06 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:48:06 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:48:10 2023,
set_pressure(pressure=-200; direction=None),Fri Jun 30 13:48:12 2023,
close_valve(channel=0),Fri Jun 30 13:48:15 2023,
set_pressure(pressure=0; direction=2),Fri Jun 30 13:48:16 2023,
dispense(pressure=200),Fri Jun 30 13:48:17 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:48:17 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:48:20 2023,
dispense(pressure=200),Fri Jun 30 13:48:26 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:48:26 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:48:28 2023,
dispense(pressure=200),Fri Jun 30 13:48:32 2023,
set_pressure(pressure=200; direction=1),Fri Jun 30 13:48:32 2023,
set_pressure(pressure=0; direction=1),Fri Jun 30 13:48:34 2023,
