Seyonic Pipettor Initializing...,Tue Jun  6 11:04:03 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:18:03 2023,
close_valve(channel=0),Tue Jun  6 11:18:05 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:18:06 2023,
dispense(pressure=100),Tue Jun  6 11:18:10 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:18:10 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:18:12 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:18:16 2023,
close_valve(channel=0),Tue Jun  6 11:18:18 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:18:19 2023,
dispense(pressure=100),Tue Jun  6 11:18:23 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:18:23 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:18:25 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:18:29 2023,
close_valve(channel=0),Tue Jun  6 11:18:31 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:18:32 2023,
dispense(pressure=100),Tue Jun  6 11:18:36 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:18:36 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:18:38 2023,
dispense(pressure=100),Tue Jun  6 11:18:52 2023,
set_pressure(pressure=100; direction=1),Tue Jun  6 11:18:52 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:18:54 2023,
set_pressure(pressure=-13; direction=None),Tue Jun  6 11:21:44 2023,
close_valve(channel=3),Tue Jun  6 11:21:50 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:21:51 2023,
close_valve(channel=0),Tue Jun  6 11:21:51 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:21:52 2023,
dispense(pressure=10),Tue Jun  6 11:22:07 2023,
set_pressure(pressure=10; direction=1),Tue Jun  6 11:22:07 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:22:19 2023,
dispense(pressure=10),Tue Jun  6 11:22:24 2023,
set_pressure(pressure=10; direction=1),Tue Jun  6 11:22:24 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:22:27 2023,
set_pressure(pressure=-13; direction=None),Tue Jun  6 11:22:44 2023,
close_valve(channel=4),Tue Jun  6 11:22:50 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:22:51 2023,
close_valve(channel=0),Tue Jun  6 11:22:51 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:22:52 2023,
dispense(pressure=10),Tue Jun  6 11:23:13 2023,
set_pressure(pressure=10; direction=1),Tue Jun  6 11:23:13 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:23:25 2023,
dispense(pressure=10),Tue Jun  6 11:23:37 2023,
set_pressure(pressure=10; direction=1),Tue Jun  6 11:23:37 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:23:40 2023,
dispense(pressure=10),Tue Jun  6 11:23:52 2023,
set_pressure(pressure=10; direction=1),Tue Jun  6 11:23:52 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:23:55 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:23:59 2023,
close_valve(channel=0),Tue Jun  6 11:24:01 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:24:02 2023,
dispense(pressure=200),Tue Jun  6 11:24:11 2023,
set_pressure(pressure=200; direction=1),Tue Jun  6 11:24:11 2023,
set_pressure(pressure=0; direction=1),Tue Jun  6 11:24:13 2023,
set_pressure(pressure=-100; direction=None),Tue Jun  6 11:24:22 2023,
close_valve(channel=0),Tue Jun  6 11:24:24 2023,
set_pressure(pressure=0; direction=2),Tue Jun  6 11:24:25 2023,
dispense(pressure=200),Tue Jun  6 11:24:33 2023,
