Seyonic Pipettor Initializing...,Wed Aug  2 15:39:16 2023,
dispense(pressure=20),Wed Aug  2 15:39:17 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:39:17 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:39:18 2023,
dispense(pressure=20),Wed Aug  2 15:39:24 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:39:25 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:39:26 2023,
dispense(pressure=20),Wed Aug  2 15:39:33 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:39:33 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:39:34 2023,
dispense(pressure=20),Wed Aug  2 15:39:41 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:39:41 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:39:42 2023,
dispense(pressure=20),Wed Aug  2 15:39:49 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:39:49 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:39:50 2023,
dispense(pressure=20),Wed Aug  2 15:39:56 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:39:57 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:39:58 2023,
