Seyonic Pipettor Initializing...,Thu Aug  3 15:21:07 2023,
dispense(pressure=20),Thu Aug  3 15:21:08 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:21:08 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:21:10 2023,
dispense(pressure=20),Thu Aug  3 15:21:15 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:21:15 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:21:17 2023,
dispense(pressure=20),Thu Aug  3 15:21:22 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:21:22 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:21:24 2023,
dispense(pressure=20),Thu Aug  3 15:21:29 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:21:29 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:21:31 2023,
dispense(pressure=20),Thu Aug  3 15:21:36 2023,
set_pressure(pressure=20; direction=1),Thu Aug  3 15:21:36 2023,
set_pressure(pressure=0; direction=1),Thu Aug  3 15:21:38 2023,
