Seyonic Pipettor Initializing...,Tue Jul 11 11:54:35 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 11 11:54:41 2023,
close_valve(channel=0),Tue Jul 11 11:54:42 2023,
set_pressure(pressure=0; direction=2),Tue Jul 11 11:54:43 2023,
dispense(pressure=100),Tue Jul 11 11:54:46 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 11:54:46 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 11:54:49 2023,
dispense(pressure=100),Tue Jul 11 11:54:53 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 11:54:53 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 11:54:55 2023,
dispense(pressure=100),Tue Jul 11 11:54:59 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 11:54:59 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 11:55:01 2023,
