Seyonic Pipettor Initializing...,Tue Nov  7 13:01:06 2023,
dispense(pressure=100),Tue Nov  7 13:27:06 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:27:06 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:27:08 2023,
dispense(pressure=100),Tue Nov  7 13:27:15 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:27:15 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:27:17 2023,
dispense(pressure=100),Tue Nov  7 13:27:25 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:27:25 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:27:27 2023,
dispense(pressure=100),Tue Nov  7 13:27:34 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:27:34 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:27:37 2023,
dispense(pressure=100),Tue Nov  7 13:27:47 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:27:47 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:27:49 2023,
dispense(pressure=100),Tue Nov  7 13:27:54 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:27:54 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:27:56 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:28:05 2023,
close_valve(channel=0),Tue Nov  7 13:28:09 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:28:10 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:28:15 2023,
close_valve(channel=0),Tue Nov  7 13:28:16 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:28:17 2023,
dispense(pressure=100),Tue Nov  7 13:29:11 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:29:11 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:29:13 2023,
dispense(pressure=100),Tue Nov  7 13:29:20 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:29:20 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:29:22 2023,
dispense(pressure=100),Tue Nov  7 13:29:29 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:29:29 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:29:32 2023,
dispense(pressure=100),Tue Nov  7 13:29:39 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:29:39 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:29:41 2023,
dispense(pressure=100),Tue Nov  7 13:29:48 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:29:48 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:29:51 2023,
dispense(pressure=100),Tue Nov  7 13:30:02 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:30:02 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:30:04 2023,
dispense(pressure=100),Tue Nov  7 13:30:09 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:30:09 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:30:11 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:30:20 2023,
close_valve(channel=0),Tue Nov  7 13:30:24 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:30:25 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:30:30 2023,
close_valve(channel=0),Tue Nov  7 13:30:31 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:30:32 2023,
dispense(pressure=100),Tue Nov  7 13:31:25 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:31:25 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:31:27 2023,
dispense(pressure=100),Tue Nov  7 13:31:34 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:31:34 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:31:37 2023,
dispense(pressure=100),Tue Nov  7 13:31:44 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:31:44 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:31:46 2023,
dispense(pressure=100),Tue Nov  7 13:31:53 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:31:53 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:31:56 2023,
dispense(pressure=100),Tue Nov  7 13:32:03 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:32:03 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:32:05 2023,
dispense(pressure=100),Tue Nov  7 13:32:16 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:32:16 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:32:18 2023,
dispense(pressure=100),Tue Nov  7 13:32:23 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:32:23 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:32:25 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:32:34 2023,
close_valve(channel=0),Tue Nov  7 13:32:38 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:32:39 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:32:44 2023,
close_valve(channel=0),Tue Nov  7 13:32:45 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:32:46 2023,
dispense(pressure=100),Tue Nov  7 13:33:40 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:33:40 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:33:42 2023,
dispense(pressure=100),Tue Nov  7 13:33:49 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:33:49 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:33:51 2023,
dispense(pressure=100),Tue Nov  7 13:33:58 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:33:58 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:34:01 2023,
dispense(pressure=100),Tue Nov  7 13:34:08 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:34:08 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:34:10 2023,
dispense(pressure=100),Tue Nov  7 13:34:17 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:34:17 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:34:20 2023,
dispense(pressure=100),Tue Nov  7 13:34:30 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:34:30 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:34:32 2023,
dispense(pressure=100),Tue Nov  7 13:34:37 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:34:37 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:34:40 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:34:48 2023,
close_valve(channel=0),Tue Nov  7 13:34:52 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:34:53 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:34:58 2023,
close_valve(channel=0),Tue Nov  7 13:34:59 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:35:00 2023,
dispense(pressure=100),Tue Nov  7 13:35:53 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:35:53 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:35:55 2023,
dispense(pressure=100),Tue Nov  7 13:36:02 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:36:02 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:36:05 2023,
dispense(pressure=100),Tue Nov  7 13:36:12 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:36:12 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:36:14 2023,
dispense(pressure=100),Tue Nov  7 13:36:21 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:36:21 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:36:24 2023,
dispense(pressure=100),Tue Nov  7 13:36:31 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:36:31 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:36:33 2023,
dispense(pressure=100),Tue Nov  7 13:36:44 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:36:44 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:36:46 2023,
dispense(pressure=100),Tue Nov  7 13:36:51 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:36:51 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:36:53 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:37:02 2023,
close_valve(channel=0),Tue Nov  7 13:37:06 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:37:07 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:37:12 2023,
close_valve(channel=0),Tue Nov  7 13:37:13 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:37:14 2023,
dispense(pressure=100),Tue Nov  7 13:38:08 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:38:08 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:38:10 2023,
dispense(pressure=100),Tue Nov  7 13:38:17 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:38:17 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:38:19 2023,
dispense(pressure=100),Tue Nov  7 13:38:26 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:38:26 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:38:29 2023,
dispense(pressure=100),Tue Nov  7 13:38:36 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:38:36 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:38:38 2023,
dispense(pressure=100),Tue Nov  7 13:38:45 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:38:45 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:38:48 2023,
dispense(pressure=100),Tue Nov  7 13:38:59 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:38:59 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:39:01 2023,
dispense(pressure=100),Tue Nov  7 13:39:06 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:39:06 2023,
set_pressure(pressure=0; direction=1),Tue Nov  7 13:39:08 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:39:17 2023,
close_valve(channel=0),Tue Nov  7 13:39:21 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:39:22 2023,
set_pressure(pressure=-100; direction=None),Tue Nov  7 13:39:27 2023,
close_valve(channel=0),Tue Nov  7 13:39:28 2023,
set_pressure(pressure=0; direction=2),Tue Nov  7 13:39:29 2023,
dispense(pressure=100),Tue Nov  7 13:40:22 2023,
set_pressure(pressure=100; direction=1),Tue Nov  7 13:40:22 2023,
