Seyonic Pipettor Initializing...,Wed Aug  2 15:48:16 2023,
set_pressure(pressure=-100; direction=None),Wed Aug  2 15:48:22 2023,
close_valve(channel=0),Wed Aug  2 15:48:23 2023,
set_pressure(pressure=0; direction=2),Wed Aug  2 15:48:24 2023,
dispense(pressure=20),Wed Aug  2 15:48:35 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:48:35 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:48:37 2023,
set_pressure(pressure=-100; direction=None),Wed Aug  2 15:48:39 2023,
close_valve(channel=0),Wed Aug  2 15:48:40 2023,
set_pressure(pressure=0; direction=2),Wed Aug  2 15:48:41 2023,
dispense(pressure=20),Wed Aug  2 15:48:59 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:48:59 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:49:01 2023,
set_pressure(pressure=-8; direction=None),Wed Aug  2 15:49:03 2023,
close_valve(channel=0),Wed Aug  2 15:49:05 2023,
set_pressure(pressure=0; direction=2),Wed Aug  2 15:49:06 2023,
dispense(pressure=20),Wed Aug  2 15:49:18 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:49:18 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:49:21 2023,
dispense(pressure=20),Wed Aug  2 15:49:23 2023,
set_pressure(pressure=20; direction=1),Wed Aug  2 15:49:23 2023,
set_pressure(pressure=0; direction=1),Wed Aug  2 15:49:25 2023,
