Seyonic Pipettor Initializing...,Wed Jul 12 13:38:09 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:38:10 2023,
close_valve(channel=0),Wed Jul 12 13:38:12 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:38:13 2023,
dispense(pressure=100),Wed Jul 12 13:38:22 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:38:22 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:38:25 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:38:58 2023,
close_valve(channel=0),Wed Jul 12 13:38:59 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:39:00 2023,
dispense(pressure=100),Wed Jul 12 13:39:11 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:39:11 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:39:13 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:39:25 2023,
close_valve(channel=0),Wed Jul 12 13:39:26 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:39:27 2023,
dispense(pressure=100),Wed Jul 12 13:39:38 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:39:38 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:39:40 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:40:14 2023,
close_valve(channel=0),Wed Jul 12 13:40:15 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:40:16 2023,
dispense(pressure=100),Wed Jul 12 13:40:26 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:40:26 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:40:28 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:40:30 2023,
close_valve(channel=0),Wed Jul 12 13:40:31 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:40:32 2023,
dispense(pressure=100),Wed Jul 12 13:40:33 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:40:33 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:40:35 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:40:37 2023,
close_valve(channel=0),Wed Jul 12 13:40:38 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:40:39 2023,
dispense(pressure=100),Wed Jul 12 13:40:40 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:40:40 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:40:42 2023,
set_pressure(pressure=-100; direction=None),Wed Jul 12 13:40:44 2023,
close_valve(channel=0),Wed Jul 12 13:40:46 2023,
set_pressure(pressure=0; direction=2),Wed Jul 12 13:40:47 2023,
dispense(pressure=100),Wed Jul 12 13:40:48 2023,
set_pressure(pressure=100; direction=1),Wed Jul 12 13:40:48 2023,
set_pressure(pressure=0; direction=1),Wed Jul 12 13:40:50 2023,
