Seyonic Pipettor Initializing...,Wed Aug  9 20:50:21 2023,
set_pressure(pressure=-100; direction=None),Wed Aug  9 20:50:41 2023,
close_valve(channel=0),Wed Aug  9 20:50:42 2023,
set_pressure(pressure=0; direction=2),Wed Aug  9 20:50:43 2023,
dispense(pressure=20),Wed Aug  9 20:50:53 2023,
set_pressure(pressure=20; direction=1),Wed Aug  9 20:50:53 2023,
set_pressure(pressure=0; direction=1),Wed Aug  9 20:50:56 2023,
set_pressure(pressure=-8; direction=None),Wed Aug  9 20:50:58 2023,
close_valve(channel=0),Wed Aug  9 20:51:00 2023,
set_pressure(pressure=0; direction=2),Wed Aug  9 20:51:01 2023,
dispense(pressure=20),Wed Aug  9 20:51:19 2023,
set_pressure(pressure=20; direction=1),Wed Aug  9 20:51:19 2023,
set_pressure(pressure=0; direction=1),Wed Aug  9 20:51:21 2023,
set_pressure(pressure=-8; direction=None),Wed Aug  9 20:51:23 2023,
close_valve(channel=0),Wed Aug  9 20:51:25 2023,
set_pressure(pressure=0; direction=2),Wed Aug  9 20:51:26 2023,
dispense(pressure=20),Wed Aug  9 20:51:39 2023,
set_pressure(pressure=20; direction=1),Wed Aug  9 20:51:39 2023,
set_pressure(pressure=0; direction=1),Wed Aug  9 20:51:41 2023,
dispense(pressure=20),Wed Aug  9 20:51:43 2023,
set_pressure(pressure=20; direction=1),Wed Aug  9 20:51:43 2023,
set_pressure(pressure=0; direction=1),Wed Aug  9 20:51:45 2023,
