Seyonic Pipettor Initializing...,Tue Jul 11 11:52:25 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 11 11:52:31 2023,
close_valve(channel=0),Tue Jul 11 11:52:33 2023,
set_pressure(pressure=0; direction=2),Tue Jul 11 11:52:34 2023,
dispense(pressure=100),Tue Jul 11 11:52:37 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 11:52:37 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 11:52:40 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 11 11:52:44 2023,
close_valve(channel=0),Tue Jul 11 11:52:46 2023,
set_pressure(pressure=0; direction=2),Tue Jul 11 11:52:47 2023,
dispense(pressure=100),Tue Jul 11 11:52:50 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 11:52:50 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 11:52:52 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 11 11:52:56 2023,
close_valve(channel=0),Tue Jul 11 11:52:58 2023,
set_pressure(pressure=0; direction=2),Tue Jul 11 11:52:59 2023,
dispense(pressure=100),Tue Jul 11 11:53:02 2023,
set_pressure(pressure=100; direction=1),Tue Jul 11 11:53:02 2023,
set_pressure(pressure=0; direction=1),Tue Jul 11 11:53:04 2023,
