Seyonic Pipettor Initializing...,Wed Sep 20 15:23:37 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 20 15:23:57 2023,
close_valve(channel=0),Wed Sep 20 15:23:58 2023,
set_pressure(pressure=0; direction=2),Wed Sep 20 15:23:59 2023,
dispense(pressure=100),Wed Sep 20 15:24:09 2023,
set_pressure(pressure=100; direction=1),Wed Sep 20 15:24:09 2023,
set_pressure(pressure=0; direction=1),Wed Sep 20 15:24:11 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 20 15:24:48 2023,
close_valve(channel=0),Wed Sep 20 15:24:49 2023,
set_pressure(pressure=0; direction=2),Wed Sep 20 15:24:50 2023,
dispense(pressure=100),Wed Sep 20 15:25:00 2023,
set_pressure(pressure=100; direction=1),Wed Sep 20 15:25:00 2023,
set_pressure(pressure=0; direction=1),Wed Sep 20 15:25:02 2023,
dispense(pressure=100),Wed Sep 20 15:25:05 2023,
set_pressure(pressure=100; direction=1),Wed Sep 20 15:25:05 2023,
set_pressure(pressure=0; direction=1),Wed Sep 20 15:25:07 2023,
set_pressure(pressure=-100; direction=None),Wed Sep 20 15:27:30 2023,
close_valve(channel=0),Wed Sep 20 15:27:32 2023,
set_pressure(pressure=0; direction=2),Wed Sep 20 15:27:33 2023,
dispense(pressure=100),Wed Sep 20 15:27:44 2023,
set_pressure(pressure=100; direction=1),Wed Sep 20 15:27:44 2023,
set_pressure(pressure=0; direction=1),Wed Sep 20 15:27:46 2023,
