Seyonic Pipettor Initializing...,Tue Jul 18 11:49:35 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 12:01:43 2023,
close_valve(channel=0),Tue Jul 18 12:01:45 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 12:01:46 2023,
dispense(pressure=100),Tue Jul 18 12:01:48 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 12:01:48 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:01:51 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 12:01:54 2023,
close_valve(channel=0),Tue Jul 18 12:01:55 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 12:01:56 2023,
dispense(pressure=100),Tue Jul 18 12:01:58 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 12:01:58 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:02:01 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 12:02:04 2023,
close_valve(channel=0),Tue Jul 18 12:02:06 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 12:02:07 2023,
dispense(pressure=100),Tue Jul 18 12:02:09 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 12:02:09 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:02:12 2023,
dispense(pressure=100),Tue Jul 18 12:02:25 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 12:02:25 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:02:27 2023,
set_pressure(pressure=-20; direction=None),Tue Jul 18 12:05:01 2023,
close_valve(channel=6),Tue Jul 18 12:05:06 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 12:05:07 2023,
close_valve(channel=0),Tue Jul 18 12:05:08 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 12:05:09 2023,
dispense(pressure=20),Tue Jul 18 12:05:18 2023,
set_pressure(pressure=20; direction=1),Tue Jul 18 12:05:18 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:05:29 2023,
dispense(pressure=20),Tue Jul 18 12:05:34 2023,
set_pressure(pressure=20; direction=1),Tue Jul 18 12:05:35 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:05:40 2023,
set_pressure(pressure=-20; direction=None),Tue Jul 18 12:05:52 2023,
close_valve(channel=4),Tue Jul 18 12:05:57 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 12:05:58 2023,
close_valve(channel=0),Tue Jul 18 12:05:59 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 12:06:00 2023,
dispense(pressure=20),Tue Jul 18 12:06:15 2023,
set_pressure(pressure=20; direction=1),Tue Jul 18 12:06:15 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:06:21 2023,
dispense(pressure=20),Tue Jul 18 12:06:33 2023,
set_pressure(pressure=20; direction=1),Tue Jul 18 12:06:33 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:06:36 2023,
dispense(pressure=20),Tue Jul 18 12:06:48 2023,
set_pressure(pressure=20; direction=1),Tue Jul 18 12:06:48 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:06:51 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 12:06:54 2023,
close_valve(channel=0),Tue Jul 18 12:06:56 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 12:06:57 2023,
dispense(pressure=200),Tue Jul 18 12:07:03 2023,
set_pressure(pressure=200; direction=1),Tue Jul 18 12:07:03 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:07:05 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 12:07:12 2023,
close_valve(channel=0),Tue Jul 18 12:07:14 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 12:07:15 2023,
dispense(pressure=200),Tue Jul 18 12:07:21 2023,
set_pressure(pressure=200; direction=1),Tue Jul 18 12:07:21 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:07:23 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 12:07:30 2023,
close_valve(channel=0),Tue Jul 18 12:07:32 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 12:07:33 2023,
dispense(pressure=200),Tue Jul 18 12:07:39 2023,
set_pressure(pressure=200; direction=1),Tue Jul 18 12:07:39 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:07:41 2023,
set_pressure(pressure=-100; direction=None),Tue Jul 18 12:07:48 2023,
close_valve(channel=0),Tue Jul 18 12:07:50 2023,
set_pressure(pressure=0; direction=2),Tue Jul 18 12:07:51 2023,
dispense(pressure=200),Tue Jul 18 12:07:57 2023,
set_pressure(pressure=200; direction=1),Tue Jul 18 12:07:57 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:08:00 2023,
dispense(pressure=100),Tue Jul 18 12:08:18 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 12:08:18 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:08:20 2023,
dispense(pressure=100),Tue Jul 18 12:08:32 2023,
set_pressure(pressure=100; direction=1),Tue Jul 18 12:08:32 2023,
set_pressure(pressure=0; direction=1),Tue Jul 18 12:08:34 2023,
