Seyonic Pipettor Initializing...,Thu Sep 28 14:01:55 2023,
set_pressure(pressure=-100; direction=None),Thu Sep 28 14:02:15 2023,
close_valve(channel=0),Thu Sep 28 14:02:17 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 14:02:18 2023,
dispense(pressure=100),Thu Sep 28 14:02:33 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 14:02:33 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 14:02:36 2023,
dispense(pressure=100),Thu Sep 28 14:02:53 2023,
set_pressure(pressure=100; direction=1),Thu Sep 28 14:02:53 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 14:02:55 2023,
change_timeout(timeout_in_seconds=200),Thu Sep 28 14:03:28 2023,
set_pressure(pressure=-500; direction=2),Thu Sep 28 14:03:28 2023,
open_valve(),Thu Sep 28 14:03:29 2023,
close_valve(channel=0),Thu Sep 28 14:06:16 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 14:06:16 2023,
set_pressure(pressure=241; direction=1),Thu Sep 28 14:06:16 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 14:06:16 2023,
change_timeout(timeout_in_seconds=65),Thu Sep 28 14:06:19 2023,
change_timeout(timeout_in_seconds=200),Thu Sep 28 14:06:29 2023,
set_pressure(pressure=-500; direction=2),Thu Sep 28 14:06:29 2023,
open_valve(),Thu Sep 28 14:06:30 2023,
close_valve(channel=0),Thu Sep 28 14:09:17 2023,
set_pressure(pressure=0; direction=2),Thu Sep 28 14:09:17 2023,
set_pressure(pressure=241; direction=1),Thu Sep 28 14:09:17 2023,
set_pressure(pressure=0; direction=1),Thu Sep 28 14:09:17 2023,
change_timeout(timeout_in_seconds=65),Thu Sep 28 14:09:20 2023,
